# Be7 + n > Li7 + p   [Be7_n__Li7_p]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# T9                 rate                error
1.000000e-03 6.385684e+09 1.156670e+00
1.009262e-03 6.383653e+09 1.156651e+00
1.018610e-03 6.381614e+09 1.156632e+00
1.028045e-03 6.379566e+09 1.156613e+00
1.037567e-03 6.377509e+09 1.156593e+00
1.047177e-03 6.375443e+09 1.156574e+00
1.056876e-03 6.373369e+09 1.156554e+00
1.066665e-03 6.371285e+09 1.156535e+00
1.076545e-03 6.369193e+09 1.156515e+00
1.086516e-03 6.367092e+09 1.156495e+00
1.096579e-03 6.364982e+09 1.156475e+00
1.106736e-03 6.362864e+09 1.156455e+00
1.116987e-03 6.360736e+09 1.156435e+00
1.127333e-03 6.358598e+09 1.156415e+00
1.137774e-03 6.356452e+09 1.156394e+00
1.148312e-03 6.354297e+09 1.156374e+00
1.158948e-03 6.352133e+09 1.156353e+00
1.169683e-03 6.349959e+09 1.156333e+00
1.180517e-03 6.347776e+09 1.156312e+00
1.191451e-03 6.345584e+09 1.156291e+00
1.202486e-03 6.343383e+09 1.156270e+00
1.213624e-03 6.341172e+09 1.156249e+00
1.224865e-03 6.338952e+09 1.156228e+00
1.236210e-03 6.336723e+09 1.156208e+00
1.247660e-03 6.334484e+09 1.156187e+00
1.259216e-03 6.332236e+09 1.156165e+00
1.270879e-03 6.329978e+09 1.156144e+00
1.282650e-03 6.327711e+09 1.156122e+00
1.294530e-03 6.325434e+09 1.156100e+00
1.306520e-03 6.323147e+09 1.156078e+00
1.318621e-03 6.320851e+09 1.156057e+00
1.330835e-03 6.318546e+09 1.156034e+00
1.343161e-03 6.316230e+09 1.156012e+00
1.355602e-03 6.313905e+09 1.155990e+00
1.368158e-03 6.311570e+09 1.155968e+00
1.380830e-03 6.309225e+09 1.155945e+00
1.393619e-03 6.306870e+09 1.155923e+00
1.406527e-03 6.304505e+09 1.155900e+00
1.419555e-03 6.302131e+09 1.155877e+00
1.432703e-03 6.299746e+09 1.155854e+00
1.445973e-03 6.297352e+09 1.155831e+00
1.459366e-03 6.294948e+09 1.155808e+00
1.472883e-03 6.292533e+09 1.155785e+00
1.486525e-03 6.290108e+09 1.155762e+00
1.500293e-03 6.287673e+09 1.155738e+00
1.514189e-03 6.285228e+09 1.155715e+00
1.528214e-03 6.282772e+09 1.155691e+00
1.542369e-03 6.280307e+09 1.155667e+00
1.556654e-03 6.277830e+09 1.155643e+00
1.571072e-03 6.275344e+09 1.155619e+00
1.585624e-03 6.272847e+09 1.155595e+00
1.600310e-03 6.270340e+09 1.155571e+00
1.615133e-03 6.267823e+09 1.155546e+00
1.630092e-03 6.265294e+09 1.155522e+00
1.645191e-03 6.262756e+09 1.155497e+00
1.660429e-03 6.260207e+09 1.155473e+00
1.675808e-03 6.257647e+09 1.155448e+00
1.691330e-03 6.255077e+09 1.155423e+00
1.706995e-03 6.252495e+09 1.155397e+00
1.722805e-03 6.249903e+09 1.155372e+00
1.738762e-03 6.247300e+09 1.155348e+00
1.754867e-03 6.244686e+09 1.155322e+00
1.771121e-03 6.242062e+09 1.155297e+00
1.787526e-03 6.239427e+09 1.155271e+00
1.804082e-03 6.236781e+09 1.155245e+00
1.820792e-03 6.234124e+09 1.155219e+00
1.837656e-03 6.231456e+09 1.155193e+00
1.854677e-03 6.228776e+09 1.155167e+00
1.871855e-03 6.226086e+09 1.155141e+00
1.889193e-03 6.223384e+09 1.155114e+00
1.906691e-03 6.220672e+09 1.155088e+00
1.924351e-03 6.217948e+09 1.155061e+00
1.942175e-03 6.215213e+09 1.155034e+00
1.960163e-03 6.212467e+09 1.155007e+00
1.978319e-03 6.209709e+09 1.154980e+00
1.996642e-03 6.206940e+09 1.154953e+00
2.015136e-03 6.204159e+09 1.154925e+00
2.033800e-03 6.201368e+09 1.154898e+00
2.052638e-03 6.198565e+09 1.154870e+00
2.071650e-03 6.195750e+09 1.154843e+00
2.090838e-03 6.192923e+09 1.154815e+00
2.110203e-03 6.190085e+09 1.154787e+00
2.129749e-03 6.187235e+09 1.154758e+00
2.149475e-03 6.184373e+09 1.154730e+00
2.169384e-03 6.181500e+09 1.154702e+00
2.189477e-03 6.178615e+09 1.154674e+00
2.209756e-03 6.175718e+09 1.154644e+00
2.230223e-03 6.172810e+09 1.154616e+00
2.250880e-03 6.169889e+09 1.154588e+00
2.271728e-03 6.166957e+09 1.154558e+00
2.292769e-03 6.164012e+09 1.154529e+00
2.314005e-03 6.161056e+09 1.154499e+00
2.335438e-03 6.158087e+09 1.154470e+00
2.357069e-03 6.155107e+09 1.154440e+00
2.378901e-03 6.152114e+09 1.154411e+00
2.400935e-03 6.149108e+09 1.154380e+00
2.423173e-03 6.146091e+09 1.154350e+00
2.445617e-03 6.143061e+09 1.154320e+00
2.468268e-03 6.140019e+09 1.154290e+00
2.491130e-03 6.136965e+09 1.154259e+00
2.514203e-03 6.133899e+09 1.154228e+00
2.537490e-03 6.130820e+09 1.154197e+00
