# He3 + a > Be7 + g   [He3_a__Be7_g]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 33 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 6.409763e-72 1.460895e+00
1.009262e-03 8.729517e-72 1.460895e+00
1.018610e-03 1.188888e-71 1.460895e+00
1.028045e-03 1.619169e-71 1.460895e+00
1.037567e-03 2.205164e-71 1.460895e+00
1.047177e-03 3.003214e-71 1.460895e+00
1.056876e-03 4.090098e-71 1.460895e+00
1.066665e-03 5.570417e-71 1.460895e+00
1.076545e-03 7.586503e-71 1.460895e+00
1.086516e-03 1.033210e-70 1.460895e+00
1.096579e-03 1.407127e-70 1.460895e+00
1.106736e-03 1.916378e-70 1.460895e+00
1.116987e-03 2.609957e-70 1.460895e+00
1.127333e-03 3.554580e-70 1.460895e+00
1.137774e-03 4.841065e-70 1.460895e+00
1.148312e-03 6.593060e-70 1.460895e+00
1.158948e-03 8.979078e-70 1.460895e+00
1.169683e-03 1.222872e-69 1.460895e+00
1.180517e-03 1.665459e-69 1.460895e+00
1.191451e-03 2.268235e-69 1.460895e+00
1.202486e-03 3.089151e-69 1.460895e+00
1.213624e-03 4.207111e-69 1.460895e+00
1.224865e-03 5.729668e-69 1.460895e+00
1.236210e-03 7.803363e-69 1.460895e+00
1.247660e-03 1.062762e-68 1.460895e+00
1.259216e-03 1.447391e-68 1.460895e+00
1.270879e-03 1.971211e-68 1.460895e+00
1.282650e-03 2.684612e-68 1.460895e+00
1.294530e-03 3.656208e-68 1.460895e+00
1.306520e-03 4.979439e-68 1.460895e+00
1.318621e-03 6.781574e-68 1.460895e+00
1.330835e-03 9.235957e-68 1.460895e+00
1.343161e-03 1.257865e-67 1.460895e+00
1.355602e-03 1.713111e-67 1.460895e+00
1.368158e-03 2.333108e-67 1.460895e+00
1.380830e-03 3.177468e-67 1.460895e+00
1.393619e-03 4.327408e-67 1.460895e+00
1.406527e-03 5.893569e-67 1.460895e+00
1.419555e-03 8.026582e-67 1.460895e+00
1.432703e-03 1.093155e-66 1.460895e+00
1.445973e-03 1.488784e-66 1.460895e+00
