# He3 + d > a + p   [He3_d__a_p]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 218 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 2.695030e-02 1.438766e+01
1.009262e-03 2.778894e-02 1.438766e+01
1.018610e-03 2.865369e-02 1.438766e+01
1.028045e-03 2.954535e-02 1.438766e+01
1.037567e-03 3.046474e-02 1.438766e+01
1.047177e-03 3.141272e-02 1.438766e+01
1.056876e-03 3.239021e-02 1.438766e+01
1.066665e-03 3.339816e-02 1.438766e+01
1.076545e-03 3.443749e-02 1.438766e+01
1.086516e-03 3.550910e-02 1.438766e+01
1.096579e-03 3.661403e-02 1.438766e+01
1.106736e-03 3.775338e-02 1.438766e+01
1.116987e-03 3.892822e-02 1.438766e+01
1.127333e-03 4.013964e-02 1.438766e+01
1.137774e-03 4.138874e-02 1.438766e+01
1.148312e-03 4.267665e-02 1.438766e+01
1.158948e-03 4.400462e-02 1.438766e+01
1.169683e-03 4.537396e-02 1.438766e+01
1.180517e-03 4.678595e-02 1.438766e+01
1.191451e-03 4.824190e-02 1.438766e+01
1.202486e-03 4.974311e-02 1.438766e+01
1.213624e-03 5.129097e-02 1.438766e+01
1.224865e-03 5.288700e-02 1.438766e+01
1.236210e-03 5.453278e-02 1.438766e+01
1.247660e-03 5.622980e-02 1.438766e+01
1.259216e-03 5.797957e-02 1.438766e+01
1.270879e-03 5.978375e-02 1.438766e+01
1.282650e-03 6.164410e-02 1.438766e+01
1.294530e-03 6.356235e-02 1.438766e+01
1.306520e-03 6.554029e-02 1.438766e+01
1.318621e-03 6.757979e-02 1.438766e+01
1.330835e-03 6.968278e-02 1.438766e+01
1.343161e-03 7.185123e-02 1.438766e+01
1.355602e-03 7.408714e-02 1.438766e+01
1.368158e-03 7.639259e-02 1.438766e+01
1.380830e-03 7.876972e-02 1.438766e+01
1.393619e-03 8.122084e-02 1.438766e+01
1.406527e-03 8.374830e-02 1.438766e+01
1.419555e-03 8.635445e-02 1.438766e+01
1.432703e-03 8.904167e-02 1.438766e+01
1.445973e-03 9.181249e-02 1.438766e+01
1.459366e-03 9.466951e-02 1.438766e+01
1.472883e-03 9.761546e-02 1.438766e+01
1.486525e-03 1.006531e-01 1.438766e+01
1.500293e-03 1.037853e-01 1.438766e+01
1.514189e-03 1.070147e-01 1.438766e+01
1.528214e-03 1.103447e-01 1.438766e+01
1.542369e-03 1.137785e-01 1.438766e+01
1.556654e-03 1.173191e-01 1.438766e+01
1.571072e-03 1.209698e-01 1.438766e+01
1.585624e-03 1.247341e-01 1.438766e+01
1.600310e-03 1.286156e-01 1.438766e+01
1.615133e-03 1.326180e-01 1.438766e+01
1.630092e-03 1.367450e-01 1.438766e+01
1.645191e-03 1.410004e-01 1.438766e+01
1.660429e-03 1.453880e-01 1.438766e+01
1.675808e-03 1.499120e-01 1.438766e+01
1.691330e-03 1.545769e-01 1.438766e+01
1.706995e-03 1.593871e-01 1.438766e+01
1.722805e-03 1.643471e-01 1.438766e+01
1.738762e-03 1.694614e-01 1.438766e+01
1.754867e-03 1.747346e-01 1.438766e+01
1.771121e-03 1.801719e-01 1.438766e+01
1.787526e-03 1.857785e-01 1.438766e+01
1.804082e-03 1.915596e-01 1.438766e+01
1.820792e-03 1.975207e-01 1.438766e+01
1.837656e-03 2.036671e-01 1.438766e+01
1.854677e-03 2.100048e-01 1.438766e+01
1.871855e-03 2.165397e-01 1.438766e+01
1.889193e-03 2.232782e-01 1.438766e+01
1.906691e-03 2.302263e-01 1.438766e+01
1.924351e-03 2.373905e-01 1.438766e+01
1.942175e-03 2.447775e-01 1.438766e+01
1.960163e-03 2.523945e-01 1.438766e+01
1.978319e-03 2.602486e-01 1.438766e+01
1.996642e-03 2.683471e-01 1.438766e+01
2.015136e-03 2.766977e-01 1.438766e+01
2.033800e-03 2.853080e-01 1.438766e+01
2.052638e-03 2.941863e-01 1.438766e+01
2.071650e-03 3.033409e-01 1.438766e+01
2.090838e-03 3.127804e-01 1.438766e+01
2.110203e-03 3.225136e-01 1.438766e+01
2.129749e-03 3.325496e-01 1.438766e+01
2.149475e-03 3.428977e-01 1.438766e+01
2.169384e-03 3.535678e-01 1.438766e+01
2.189477e-03 3.645703e-01 1.438766e+01
2.209756e-03 3.759153e-01 1.438766e+01
2.230223e-03 3.876130e-01 1.438766e+01
2.250880e-03 3.996746e-01 1.438766e+01
2.271728e-03 4.121119e-01 1.438766e+01
2.292769e-03 4.249363e-01 1.438766e+01
2.314005e-03 4.381595e-01 1.438766e+01
2.335438e-03 4.517940e-01 1.438766e+01
2.357069e-03 4.658529e-01 1.438766e+01
2.378901e-03 4.803494e-01 1.438766e+01
2.400935e-03 4.952970e-01 1.438766e+01
2.423173e-03 5.107098e-01 1.438766e+01
2.445617e-03 5.266023e-01 1.438766e+01
2.468268e-03 5.429893e-01 1.438766e+01
2.491130e-03 5.598861e-01 1.438766e+01
2.514203e-03 5.773087e-01 1.438766e+01
2.537490e-03 5.952736e-01 1.438766e+01
2.560993e-03 6.137976e-01 1.438766e+01
2.584714e-03 6.328978e-01 1.438766e+01
2.608654e-03 6.525922e-01 1.438766e+01
2.632815e-03 6.728998e-01 1.438766e+01
2.657201e-03 6.938394e-01 1.438766e+01
2.681813e-03 7.154302e-01 1.438766e+01
