# He3 + n > t + p   [He3_n__t_p]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# T9                 rate                error
1.000000e-03 6.915436e+08 1.002702e+00
1.009262e-03 6.914773e+08 1.002702e+00
1.018610e-03 6.914106e+08 1.002702e+00
1.028045e-03 6.913437e+08 1.002702e+00
1.037567e-03 6.912766e+08 1.002702e+00
1.047177e-03 6.912091e+08 1.002702e+00
1.056876e-03 6.911414e+08 1.002702e+00
1.066665e-03 6.910734e+08 1.002702e+00
1.076545e-03 6.910050e+08 1.002702e+00
1.086516e-03 6.909364e+08 1.002702e+00
1.096579e-03 6.908675e+08 1.002702e+00
1.106736e-03 6.907983e+08 1.002702e+00
1.116987e-03 6.907288e+08 1.002702e+00
1.127333e-03 6.906590e+08 1.002702e+00
1.137774e-03 6.905889e+08 1.002702e+00
1.148312e-03 6.905185e+08 1.002702e+00
1.158948e-03 6.904478e+08 1.002702e+00
1.169683e-03 6.903769e+08 1.002702e+00
1.180517e-03 6.903056e+08 1.002702e+00
1.191451e-03 6.902340e+08 1.002702e+00
1.202486e-03 6.901620e+08 1.002702e+00
1.213624e-03 6.900899e+08 1.002702e+00
1.224865e-03 6.900174e+08 1.002702e+00
1.236210e-03 6.899446e+08 1.002702e+00
1.247660e-03 6.898715e+08 1.002702e+00
1.259216e-03 6.897980e+08 1.002702e+00
1.270879e-03 6.897243e+08 1.002702e+00
1.282650e-03 6.896503e+08 1.002702e+00
1.294530e-03 6.895759e+08 1.002702e+00
1.306520e-03 6.895012e+08 1.002702e+00
1.318621e-03 6.894263e+08 1.002702e+00
1.330835e-03 6.893510e+08 1.002702e+00
1.343161e-03 6.892753e+08 1.002702e+00
1.355602e-03 6.891994e+08 1.002702e+00
1.368158e-03 6.891231e+08 1.002702e+00
1.380830e-03 6.890465e+08 1.002702e+00
1.393619e-03 6.889696e+08 1.002702e+00
1.406527e-03 6.888924e+08 1.002702e+00
1.419555e-03 6.888149e+08 1.002702e+00
1.432703e-03 6.887370e+08 1.002702e+00
1.445973e-03 6.886587e+08 1.002702e+00
1.459366e-03 6.885802e+08 1.002702e+00
1.472883e-03 6.885013e+08 1.002702e+00
1.486525e-03 6.884221e+08 1.002702e+00
1.500293e-03 6.883426e+08 1.002701e+00
1.514189e-03 6.882628e+08 1.002701e+00
1.528214e-03 6.881826e+08 1.002701e+00
1.542369e-03 6.881021e+08 1.002701e+00
1.556654e-03 6.880212e+08 1.002701e+00
1.571072e-03 6.879400e+08 1.002701e+00
1.585624e-03 6.878584e+08 1.002701e+00
1.600310e-03 6.877765e+08 1.002701e+00
1.615133e-03 6.876943e+08 1.002701e+00
1.630092e-03 6.876117e+08 1.002701e+00
1.645191e-03 6.875288e+08 1.002701e+00
1.660429e-03 6.874455e+08 1.002701e+00
1.675808e-03 6.873619e+08 1.002701e+00
1.691330e-03 6.872779e+08 1.002701e+00
1.706995e-03 6.871936e+08 1.002701e+00
1.722805e-03 6.871089e+08 1.002701e+00
1.738762e-03 6.870239e+08 1.002701e+00
1.754867e-03 6.869386e+08 1.002701e+00
1.771121e-03 6.868528e+08 1.002701e+00
1.787526e-03 6.867668e+08 1.002701e+00
1.804082e-03 6.866804e+08 1.002701e+00
1.820792e-03 6.865936e+08 1.002701e+00
1.837656e-03 6.865064e+08 1.002701e+00
1.854677e-03 6.864188e+08 1.002701e+00
1.871855e-03 6.863309e+08 1.002701e+00
1.889193e-03 6.862426e+08 1.002701e+00
1.906691e-03 6.861540e+08 1.002701e+00
1.924351e-03 6.860650e+08 1.002701e+00
1.942175e-03 6.859757e+08 1.002701e+00
1.960163e-03 6.858860e+08 1.002701e+00
1.978319e-03 6.857959e+08 1.002701e+00
1.996642e-03 6.857054e+08 1.002701e+00
2.015136e-03 6.856145e+08 1.002701e+00
2.033800e-03 6.855233e+08 1.002701e+00
2.052638e-03 6.854317e+08 1.002701e+00
2.071650e-03 6.853397e+08 1.002701e+00
2.090838e-03 6.852473e+08 1.002701e+00
2.110203e-03 6.851546e+08 1.002701e+00
2.129749e-03 6.850615e+08 1.002701e+00
2.149475e-03 6.849680e+08 1.002701e+00
2.169384e-03 6.848741e+08 1.002701e+00
2.189477e-03 6.847798e+08 1.002701e+00
2.209756e-03 6.846852e+08 1.002700e+00
2.230223e-03 6.845901e+08 1.002700e+00
2.250880e-03 6.844946e+08 1.002700e+00
2.271728e-03 6.843988e+08 1.002700e+00
2.292769e-03 6.843025e+08 1.002700e+00
2.314005e-03 6.842059e+08 1.002700e+00
2.335438e-03 6.841089e+08 1.002700e+00
2.357069e-03 6.840114e+08 1.002700e+00
2.378901e-03 6.839135e+08 1.002700e+00
2.400935e-03 6.838153e+08 1.002700e+00
2.423173e-03 6.837167e+08 1.002700e+00
2.445617e-03 6.836177e+08 1.002700e+00
2.468268e-03 6.835182e+08 1.002700e+00
2.491130e-03 6.834183e+08 1.002700e+00
2.514203e-03 6.833181e+08 1.002700e+00
2.537490e-03 6.832174e+08 1.002700e+00
2.560993e-03 6.831164e+08 1.002700e+00
2.584714e-03 6.830149e+08 1.002700e+00
2.608654e-03 6.829129e+08 1.002700e+00
2.632815e-03 6.828106e+08 1.002700e+00
2.657201e-03 6.827078e+08 1.002700e+00
2.681813e-03 6.826046e+08 1.002700e+00
2.706652e-03 6.825010e+08 1.002700e+00
2.731722e-03 6.823970e+08 1.002700e+00
2.757023e-03 6.822926e+08 1.002700e+00
2.782559e-03 6.821878e+08 1.002700e+00
2.808332e-03 6.820824e+08 1.002700e+00
2.834343e-03 6.819767e+08 1.002700e+00
2.860596e-03 6.818706e+08 1.002700e+00
2.887091e-03 6.817640e+08 1.002700e+00
2.913832e-03 6.816570e+08 1.002700e+00
2.940820e-03 6.815495e+08 1.002700e+00
2.968059e-03 6.814417e+08 1.002699e+00
2.995549e-03 6.813334e+08 1.002699e+00
3.023295e-03 6.812246e+08 1.002699e+00
3.051297e-03 6.811154e+08 1.002699e+00
3.079559e-03 6.810057e+08 1.002699e+00
3.108082e-03 6.808956e+08 1.002699e+00
3.136870e-03 6.807851e+08 1.002699e+00
3.165924e-03 6.806741e+08 1.002699e+00
3.195248e-03 6.805627e+08 1.002699e+00
3.224842e-03 6.804508e+08 1.002699e+00
3.254712e-03 6.803384e+08 1.002699e+00
3.284857e-03 6.802256e+08 1.002699e+00
3.315282e-03 6.801124e+08 1.002699e+00
3.345989e-03 6.799987e+08 1.002699e+00
3.376980e-03 6.798845e+08 1.002699e+00
3.408259e-03 6.797699e+08 1.002699e+00
3.439826e-03 6.796549e+08 1.002699e+00
3.471687e-03 6.795394e+08 1.002699e+00
3.503842e-03 6.794233e+08 1.002699e+00
3.536296e-03 6.793069e+08 1.002699e+00
3.569049e-03 6.791899e+08 1.002699e+00
3.602107e-03 6.790725e+08 1.002699e+00
3.635470e-03 6.789546e+08 1.002699e+00
3.669142e-03 6.788362e+08 1.002699e+00
3.703127e-03 6.787174e+08 1.002699e+00
3.737426e-03 6.785981e+08 1.002699e+00
3.772042e-03 6.784783e+08 1.002698e+00
3.806980e-03 6.783581e+08 1.002698e+00
3.842241e-03 6.782373e+08 1.002698e+00
3.877828e-03 6.781160e+08 1.002698e+00
3.913746e-03 6.779943e+08 1.002698e+00
3.949995e-03 6.778721e+08 1.002698e+00
3.986581e-03 6.777495e+08 1.002698e+00
4.023506e-03 6.776263e+08 1.002698e+00
4.060772e-03 6.775026e+08 1.002698e+00
4.098384e-03 6.773784e+08 1.002698e+00
4.136344e-03 6.772538e+08 1.002698e+00
4.174655e-03 6.771286e+08 1.002698e+00
4.213322e-03 6.770030e+08 1.002698e+00
4.252346e-03 6.768768e+08 1.002698e+00
4.291732e-03 6.767502e+08 1.002698e+00
4.331483e-03 6.766230e+08 1.002698e+00
4.371602e-03 6.764953e+08 1.002698e+00
4.412093e-03 6.763671e+08 1.002698e+00
4.452959e-03 6.762384e+08 1.002698e+00
4.494203e-03 6.761093e+08 1.002698e+00
4.535829e-03 6.759796e+08 1.002698e+00
4.577841e-03 6.758493e+08 1.002698e+00
4.620241e-03 6.757186e+08 1.002697e+00
4.663035e-03 6.755874e+08 1.002697e+00
4.706225e-03 6.754556e+08 1.002697e+00
4.749815e-03 6.753233e+08 1.002697e+00
4.793808e-03 6.751905e+08 1.002697e+00
4.838210e-03 6.750572e+08 1.002697e+00
4.883022e-03 6.749233e+08 1.002697e+00
4.928250e-03 6.747889e+08 1.002697e+00
4.973896e-03 6.746540e+08 1.002697e+00
5.019965e-03 6.745185e+08 1.002697e+00
5.066461e-03 6.743825e+08 1.002697e+00
5.113388e-03 6.742460e+08 1.002697e+00
5.160749e-03 6.741090e+08 1.002697e+00
5.208549e-03 6.739714e+08 1.002697e+00
5.256791e-03 6.738333e+08 1.002697e+00
5.305481e-03 6.736946e+08 1.002697e+00
5.354621e-03 6.735554e+08 1.002697e+00
5.404216e-03 6.734156e+08 1.002697e+00
5.454271e-03 6.732752e+08 1.002696e+00
5.504790e-03 6.731344e+08 1.002696e+00
5.555776e-03 6.729929e+08 1.002696e+00
5.607235e-03 6.728509e+08 1.002696e+00
5.659170e-03 6.727084e+08 1.002696e+00
5.711586e-03 6.725653e+08 1.002696e+00
5.764488e-03 6.724217e+08 1.002696e+00
5.817880e-03 6.722775e+08 1.002696e+00
5.871766e-03 6.721327e+08 1.002696e+00
5.926152e-03 6.719874e+08 1.002696e+00
5.981041e-03 6.718415e+08 1.002696e+00
6.036439e-03 6.716950e+08 1.002696e+00
6.092349e-03 6.715479e+08 1.002696e+00
6.148778e-03 6.714003e+08 1.002696e+00
6.205729e-03 6.712522e+08 1.002696e+00
6.263207e-03 6.711034e+08 1.002696e+00
6.321218e-03 6.709541e+08 1.002695e+00
6.379767e-03 6.708042e+08 1.002695e+00
6.438857e-03 6.706536e+08 1.002695e+00
6.498495e-03 6.705025e+08 1.002695e+00
6.558686e-03 6.703509e+08 1.002695e+00
6.619433e-03 6.701986e+08 1.002695e+00
6.680744e-03 6.700458e+08 1.002695e+00
6.742622e-03 6.698924e+08 1.002695e+00
6.805074e-03 6.697383e+08 1.002695e+00
6.868104e-03 6.695836e+08 1.002695e+00
6.931717e-03 6.694284e+08 1.002695e+00
6.995920e-03 6.692726e+08 1.002695e+00
7.060718e-03 6.691162e+08 1.002695e+00
7.126115e-03 6.689592e+08 1.002695e+00
7.192119e-03 6.688016e+08 1.002695e+00
7.258734e-03 6.686433e+08 1.002695e+00
7.325965e-03 6.684845e+08 1.002694e+00
7.393820e-03 6.683250e+08 1.002694e+00
7.462303e-03 6.681649e+08 1.002694e+00
7.531420e-03 6.680043e+08 1.002694e+00
7.601178e-03 6.678429e+08 1.002694e+00
7.671581e-03 6.676810e+08 1.002694e+00
7.742637e-03 6.675184e+08 1.002694e+00
7.814351e-03 6.673553e+08 1.002694e+00
7.886729e-03 6.671914e+08 1.002694e+00
7.959777e-03 6.670271e+08 1.002694e+00
8.033502e-03 6.668621e+08 1.002694e+00
8.107910e-03 6.666964e+08 1.002694e+00
8.183007e-03 6.665300e+08 1.002693e+00
8.258799e-03 6.663631e+08 1.002693e+00
8.335294e-03 6.661955e+08 1.002693e+00
8.412497e-03 6.660273e+08 1.002693e+00
8.490415e-03 6.658584e+08 1.002693e+00
8.569055e-03 6.656888e+08 1.002693e+00
8.648423e-03 6.655187e+08 1.002693e+00
8.728527e-03 6.653479e+08 1.002693e+00
8.809372e-03 6.651764e+08 1.002693e+00
8.890966e-03 6.650043e+08 1.002693e+00
8.973316e-03 6.648316e+08 1.002693e+00
9.056428e-03 6.646582e+08 1.002693e+00
9.140311e-03 6.644841e+08 1.002692e+00
9.224970e-03 6.643093e+08 1.002692e+00
9.310413e-03 6.641339e+08 1.002692e+00
9.396648e-03 6.639579e+08 1.002692e+00
9.483682e-03 6.637811e+08 1.002692e+00
9.571522e-03 6.636037e+08 1.002692e+00
9.660175e-03 6.634256e+08 1.002692e+00
9.749649e-03 6.632469e+08 1.002692e+00
9.839952e-03 6.630675e+08 1.002692e+00
9.931092e-03 6.628874e+08 1.002692e+00
1.002308e-02 6.627066e+08 1.002692e+00
1.011591e-02 6.625251e+08 1.002692e+00
1.020961e-02 6.623430e+08 1.002691e+00
1.030417e-02 6.621602e+08 1.002691e+00
1.039961e-02 6.619766e+08 1.002691e+00
1.049593e-02 6.617924e+08 1.002691e+00
1.059315e-02 6.616075e+08 1.002691e+00
1.069126e-02 6.614220e+08 1.002691e+00
1.079029e-02 6.612357e+08 1.002691e+00
1.089023e-02 6.610487e+08 1.002691e+00
1.099110e-02 6.608609e+08 1.002691e+00
1.109290e-02 6.606725e+08 1.002691e+00
1.119564e-02 6.604834e+08 1.002690e+00
1.129934e-02 6.602937e+08 1.002690e+00
1.140400e-02 6.601031e+08 1.002690e+00
1.150962e-02 6.599119e+08 1.002690e+00
1.161623e-02 6.597199e+08 1.002690e+00
1.172382e-02 6.595272e+08 1.002690e+00
1.183241e-02 6.593339e+08 1.002690e+00
1.194200e-02 6.591397e+08 1.002690e+00
1.205261e-02 6.589448e+08 1.002689e+00
1.216424e-02 6.587493e+08 1.002689e+00
1.227691e-02 6.585530e+08 1.002689e+00
1.239062e-02 6.583560e+08 1.002689e+00
1.250539e-02 6.581582e+08 1.002689e+00
1.262121e-02 6.579597e+08 1.002689e+00
1.273811e-02 6.577605e+08 1.002689e+00
1.285610e-02 6.575606e+08 1.002689e+00
1.297517e-02 6.573598e+08 1.002689e+00
1.309535e-02 6.571584e+08 1.002689e+00
1.321664e-02 6.569562e+08 1.002688e+00
1.333906e-02 6.567532e+08 1.002688e+00
1.346261e-02 6.565495e+08 1.002688e+00
1.358730e-02 6.563450e+08 1.002688e+00
1.371315e-02 6.561397e+08 1.002688e+00
1.384016e-02 6.559337e+08 1.002688e+00
1.396835e-02 6.557270e+08 1.002688e+00
1.409773e-02 6.555195e+08 1.002688e+00
1.422830e-02 6.553112e+08 1.002687e+00
1.436009e-02 6.551022e+08 1.002687e+00
1.449310e-02 6.548924e+08 1.002687e+00
1.462733e-02 6.546818e+08 1.002687e+00
1.476281e-02 6.544704e+08 1.002687e+00
1.489955e-02 6.542583e+08 1.002687e+00
1.503755e-02 6.540454e+08 1.002687e+00
1.517683e-02 6.538317e+08 1.002687e+00
1.531740e-02 6.536172e+08 1.002686e+00
1.545928e-02 6.534019e+08 1.002686e+00
1.560246e-02 6.531858e+08 1.002686e+00
1.574698e-02 6.529689e+08 1.002686e+00
1.589283e-02 6.527513e+08 1.002686e+00
1.604003e-02 6.525328e+08 1.002686e+00
1.618860e-02 6.523135e+08 1.002685e+00
1.633854e-02 6.520934e+08 1.002685e+00
1.648987e-02 6.518725e+08 1.002685e+00
1.664260e-02 6.516509e+08 1.002685e+00
1.679675e-02 6.514284e+08 1.002685e+00
1.695232e-02 6.512051e+08 1.002685e+00
