# Li7 + p > a + a   [Li7_p__a_a]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 188 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 6.639483e-15 3.446225e+00
1.009262e-03 7.166943e-15 3.446225e+00
1.018610e-03 7.736317e-15 3.446225e+00
1.028045e-03 8.350926e-15 3.446225e+00
1.037567e-03 9.014350e-15 3.446225e+00
1.047177e-03 9.730462e-15 3.446225e+00
1.056876e-03 1.050347e-14 3.446225e+00
1.066665e-03 1.133794e-14 3.446225e+00
1.076545e-03 1.223869e-14 3.446225e+00
1.086516e-03 1.321096e-14 3.446225e+00
1.096579e-03 1.426045e-14 3.446225e+00
1.106736e-03 1.539334e-14 3.446225e+00
1.116987e-03 1.661627e-14 3.446225e+00
1.127333e-03 1.793638e-14 3.446225e+00
1.137774e-03 1.936134e-14 3.446225e+00
1.148312e-03 2.089943e-14 3.446225e+00
1.158948e-03 2.255970e-14 3.446225e+00
1.169683e-03 2.435192e-14 3.446225e+00
1.180517e-03 2.628658e-14 3.446225e+00
1.191451e-03 2.837496e-14 3.446225e+00
1.202486e-03 3.062920e-14 3.446225e+00
1.213624e-03 3.306241e-14 3.446225e+00
1.224865e-03 3.568892e-14 3.446225e+00
1.236210e-03 3.852425e-14 3.446225e+00
1.247660e-03 4.158487e-14 3.446225e+00
1.259216e-03 4.488852e-14 3.446225e+00
1.270879e-03 4.845457e-14 3.446225e+00
1.282650e-03 5.230395e-14 3.446225e+00
1.294530e-03 5.645917e-14 3.446225e+00
1.306520e-03 6.094449e-14 3.446225e+00
1.318621e-03 6.578617e-14 3.446225e+00
1.330835e-03 7.101254e-14 3.446225e+00
1.343161e-03 7.665415e-14 3.446225e+00
1.355602e-03 8.274393e-14 3.446225e+00
1.368158e-03 8.931740e-14 3.446225e+00
1.380830e-03 9.641290e-14 3.446225e+00
1.393619e-03 1.040721e-13 3.446225e+00
1.406527e-03 1.123401e-13 3.446225e+00
1.419555e-03 1.212650e-13 3.446225e+00
1.432703e-03 1.308989e-13 3.446225e+00
1.445973e-03 1.412980e-13 3.446225e+00
1.459366e-03 1.525232e-13 3.446225e+00
1.472883e-03 1.646402e-13 3.446225e+00
1.486525e-03 1.777199e-13 3.446225e+00
1.500293e-03 1.918385e-13 3.446225e+00
1.514189e-03 2.070785e-13 3.446225e+00
1.528214e-03 2.235292e-13 3.446225e+00
1.542369e-03 2.412872e-13 3.446225e+00
1.556654e-03 2.604562e-13 3.446225e+00
1.571072e-03 2.811477e-13 3.446225e+00
1.585624e-03 3.034829e-13 3.446225e+00
1.600310e-03 3.275927e-13 3.446225e+00
1.615133e-03 3.536183e-13 3.446225e+00
1.630092e-03 3.817119e-13 3.446225e+00
1.645191e-03 4.120372e-13 3.446225e+00
1.660429e-03 4.447707e-13 3.446225e+00
1.675808e-03 4.801042e-13 3.446225e+00
1.691330e-03 5.182448e-13 3.446225e+00
1.706995e-03 5.594161e-13 3.446225e+00
1.722805e-03 6.038593e-13 3.446225e+00
1.738762e-03 6.518331e-13 3.446225e+00
1.754867e-03 7.036164e-13 3.446225e+00
1.771121e-03 7.595129e-13 3.446225e+00
1.787526e-03 8.198511e-13 3.446225e+00
1.804082e-03 8.849837e-13 3.446225e+00
1.820792e-03 9.552908e-13 3.446225e+00
1.837656e-03 1.031183e-12 3.446225e+00
1.854677e-03 1.113102e-12 3.446225e+00
1.871855e-03 1.201531e-12 3.446225e+00
1.889193e-03 1.296987e-12 3.446225e+00
1.906691e-03 1.400026e-12 3.446225e+00
1.924351e-03 1.511249e-12 3.446225e+00
1.942175e-03 1.631307e-12 3.446225e+00
1.960163e-03 1.760903e-12 3.446225e+00
1.978319e-03 1.900795e-12 3.446225e+00
1.996642e-03 2.051802e-12 3.446225e+00
2.015136e-03 2.214807e-12 3.446225e+00
2.033800e-03 2.390761e-12 3.446225e+00
2.052638e-03 2.580694e-12 3.446225e+00
2.071650e-03 2.785714e-12 3.446225e+00
2.090838e-03 3.007022e-12 3.446225e+00
2.110203e-03 3.245913e-12 3.446225e+00
2.129749e-03 3.503780e-12 3.446225e+00
2.149475e-03 3.782126e-12 3.446225e+00
2.169384e-03 4.082585e-12 3.446225e+00
2.189477e-03 4.406927e-12 3.446225e+00
2.209756e-03 4.757039e-12 3.446225e+00
2.230223e-03 5.134950e-12 3.446225e+00
2.250880e-03 5.542881e-12 3.446225e+00
2.271728e-03 5.983233e-12 3.446225e+00
2.292769e-03 6.458574e-12 3.446225e+00
2.314005e-03 6.971666e-12 3.446225e+00
2.335438e-03 7.525511e-12 3.446225e+00
2.357069e-03 8.123361e-12 3.446225e+00
2.378901e-03 8.768711e-12 3.446225e+00
2.400935e-03 9.465329e-12 3.446225e+00
2.423173e-03 1.021729e-11 3.446225e+00
2.445617e-03 1.102900e-11 3.446225e+00
2.468268e-03 1.190519e-11 3.446225e+00
2.491130e-03 1.285098e-11 3.446225e+00
2.514203e-03 1.387192e-11 3.446225e+00
2.537490e-03 1.497396e-11 3.446225e+00
2.560993e-03 1.616356e-11 3.446225e+00
2.584714e-03 1.744765e-11 3.446225e+00
2.608654e-03 1.883374e-11 3.446225e+00
2.632815e-03 2.032997e-11 3.446225e+00
2.657201e-03 2.194507e-11 3.446225e+00
2.681813e-03 2.368845e-11 3.446225e+00
2.706652e-03 2.557033e-11 3.446225e+00
2.731722e-03 2.760174e-11 3.446225e+00
2.757023e-03 2.979456e-11 3.446225e+00
2.782559e-03 3.216156e-11 3.446225e+00
2.808332e-03 3.471657e-11 3.446225e+00
2.834343e-03 3.747456e-11 3.446225e+00
2.860596e-03 4.045166e-11 3.446225e+00
2.887091e-03 4.366529e-11 3.446225e+00
2.913832e-03 4.713424e-11 3.446225e+00
2.940820e-03 5.087876e-11 3.446225e+00
2.968059e-03 5.492075e-11 3.446225e+00
2.995549e-03 5.928387e-11 3.446225e+00
3.023295e-03 6.399363e-11 3.446225e+00
3.051297e-03 6.907757e-11 3.446225e+00
3.079559e-03 7.456538e-11 3.446225e+00
3.108082e-03 8.048914e-11 3.446225e+00
3.136870e-03 8.688345e-11 3.446225e+00
3.165924e-03 9.378572e-11 3.446225e+00
3.195248e-03 1.012364e-10 3.446225e+00
3.224842e-03 1.092790e-10 3.446225e+00
3.254712e-03 1.179607e-10 3.446225e+00
