# d + d > He3 + n   [d_d__He3_n]   ref=Parthenope3.0 (Pisanti et al 2020 (PIS2020, default))
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 47 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 5.581295e-44 1.010180e+00
1.009262e-03 1.085479e-43 1.010180e+00
1.018610e-03 2.111124e-43 1.010180e+00
1.028045e-03 4.105881e-43 1.010180e+00
1.037567e-03 7.985347e-43 1.010180e+00
1.047177e-03 1.553009e-42 1.010180e+00
1.056876e-03 3.020361e-42 1.010180e+00
1.066665e-03 5.874324e-42 1.010180e+00
1.076545e-03 1.142501e-41 1.010180e+00
1.086516e-03 2.221983e-41 1.010180e+00
1.096579e-03 4.321348e-41 1.010180e+00
1.106736e-03 8.404367e-41 1.010180e+00
1.116987e-03 1.634556e-40 1.010180e+00
1.127333e-03 3.179076e-40 1.010180e+00
1.137774e-03 6.182965e-40 1.010180e+00
1.148312e-03 1.202483e-39 1.010180e+00
1.158948e-03 2.338610e-39 1.010180e+00
1.169683e-03 4.548269e-39 1.010180e+00
1.180517e-03 8.845918e-39 1.010180e+00
1.191451e-03 1.720451e-38 1.010180e+00
1.202486e-03 3.346068e-38 1.010180e+00
1.213624e-03 6.507498e-38 1.010180e+00
1.224865e-03 1.265594e-37 1.010180e+00
1.236210e-03 2.461445e-37 1.010180e+00
1.247660e-03 4.787288e-37 1.010180e+00
1.259216e-03 9.310633e-37 1.010180e+00
1.270879e-03 1.810772e-36 1.010180e+00
1.282650e-03 3.521686e-36 1.010180e+00
1.294530e-03 6.849195e-36 1.010180e+00
1.306520e-03 1.332075e-35 1.010180e+00
1.318621e-03 2.590713e-35 1.010180e+00
1.330835e-03 5.038634e-35 1.010180e+00
1.343161e-03 9.799584e-35 1.010180e+00
1.355602e-03 1.905904e-34 1.010180e+00
1.368158e-03 3.706720e-34 1.010180e+00
1.380830e-03 7.208952e-34 1.010180e+00
1.393619e-03 1.402024e-33 1.010180e+00
1.406527e-03 2.726760e-33 1.010180e+00
1.419555e-03 5.303250e-33 1.010180e+00
1.432703e-03 1.031418e-32 1.010180e+00
1.445973e-03 2.005971e-32 1.010180e+00
1.459366e-03 3.901338e-32 1.010180e+00
1.472883e-03 7.587576e-32 1.010180e+00
1.486525e-03 1.475685e-31 1.010180e+00
1.500293e-03 2.869998e-31 1.010180e+00
1.514189e-03 5.581663e-31 1.010180e+00
1.528214e-03 1.085541e-30 1.010180e+00
1.542369e-03 2.111235e-30 1.010180e+00
1.556654e-03 4.106097e-30 1.010180e+00
1.571072e-03 7.985780e-30 1.010180e+00
1.585624e-03 1.553116e-29 1.010180e+00
1.600310e-03 3.020599e-29 1.010180e+00
1.615133e-03 5.874717e-29 1.010180e+00
1.630092e-03 1.142575e-28 1.010180e+00
1.645191e-03 2.222187e-28 1.010180e+00
1.660429e-03 4.321836e-28 1.010180e+00
1.675808e-03 8.405263e-28 1.010180e+00
1.691330e-03 1.634691e-27 1.010180e+00
1.706995e-03 3.179256e-27 1.010180e+00
1.722805e-03 6.183319e-27 1.010180e+00
1.738762e-03 1.202586e-26 1.010180e+00
1.754867e-03 2.338846e-26 1.010180e+00
1.771121e-03 4.548667e-26 1.010180e+00
1.787526e-03 8.846516e-26 1.010180e+00
1.804082e-03 1.720539e-25 1.010180e+00
1.820792e-03 3.346238e-25 1.010180e+00
1.837656e-03 6.507974e-25 1.010180e+00
1.854677e-03 1.265699e-24 1.010180e+00
1.871855e-03 2.461599e-24 1.010180e+00
1.889193e-03 4.787532e-24 1.010180e+00
1.906691e-03 9.311242e-24 1.010180e+00
1.924351e-03 1.810910e-23 1.010180e+00
1.942175e-03 3.521944e-23 1.010180e+00
1.960163e-03 6.849665e-23 1.010180e+00
1.978319e-03 1.332166e-22 1.010180e+00
1.996642e-03 2.590894e-22 1.010180e+00
2.015136e-03 5.038972e-22 1.010180e+00
2.033800e-03 9.800185e-22 1.010180e+00
2.052638e-03 1.906013e-21 1.010180e+00
2.071650e-03 3.706947e-21 1.010180e+00
2.090838e-03 7.209529e-21 1.010180e+00
2.110203e-03 1.402162e-20 1.010180e+00
2.129749e-03 2.727007e-20 1.010180e+00
2.149475e-03 5.303568e-20 1.010180e+00
2.169384e-03 1.031460e-19 1.010180e+00
2.189477e-03 2.006074e-19 1.010180e+00
2.209756e-03 3.901601e-19 1.010180e+00
2.230223e-03 7.588012e-19 1.010180e+00
2.250880e-03 1.475745e-18 1.010180e+00
2.271728e-03 2.870148e-18 1.010180e+00
2.292769e-03 5.582133e-18 1.010180e+00
2.314005e-03 1.085647e-17 1.010180e+00
2.335438e-03 2.111413e-17 1.010180e+00
2.357069e-03 4.106393e-17 1.010180e+00
2.378901e-03 7.986380e-17 1.010180e+00
2.400935e-03 1.553243e-16 1.010180e+00
2.423173e-03 3.020851e-16 1.010180e+00
2.445617e-03 5.875176e-16 1.010180e+00
2.468268e-03 1.142648e-15 1.010180e+00
2.491130e-03 2.222296e-15 1.010180e+00
2.514203e-03 4.322067e-15 1.010180e+00
2.537490e-03 8.405885e-15 1.010180e+00
2.560993e-03 1.634839e-14 1.010180e+00
2.584714e-03 3.179530e-14 1.010180e+00
2.608654e-03 6.183730e-14 1.010180e+00
2.632815e-03 1.202657e-13 1.010180e+00
2.657201e-03 2.339016e-13 1.010180e+00
2.681813e-03 4.549042e-13 1.010180e+00
2.706652e-03 8.847205e-13 1.010180e+00
2.731722e-03 1.720670e-12 1.010180e+00
2.757023e-03 3.346500e-12 1.010180e+00
2.782559e-03 6.508501e-12 1.010180e+00
2.808332e-03 1.265809e-11 1.010180e+00
2.834343e-03 2.461810e-11 1.010180e+00
2.860596e-03 4.787865e-11 1.010180e+00
2.887091e-03 9.311762e-11 1.010180e+00
2.913832e-03 1.811018e-10 1.010180e+00
2.940820e-03 3.522186e-10 1.010180e+00
2.968059e-03 6.850168e-10 1.010180e+00
2.995549e-03 1.332267e-09 1.010180e+00
3.023295e-03 2.591090e-09 1.010180e+00
3.051297e-03 5.039351e-09 1.010180e+00
3.079559e-03 9.800900e-09 1.010180e+00
3.108082e-03 1.906142e-08 1.010180e+00
3.136870e-03 3.707174e-08 1.010180e+00
3.165924e-03 7.209914e-08 1.010180e+00
3.195248e-03 1.402228e-07 1.010180e+00
3.224842e-03 2.727160e-07 1.010180e+00
3.254712e-03 5.303995e-07 1.010180e+00
3.284857e-03 1.031556e-06 1.010180e+00
3.315282e-03 2.006227e-06 1.010180e+00
