# d + d > t + p   [d_d__t_p]   ref=Parthenope3.0 (Pisanti et al 2020 (PIS2020, default))
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 47 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 2.859058e-25 1.009883e+00
1.009262e-03 4.189374e-25 1.009883e+00
1.018610e-03 6.138730e-25 1.009883e+00
1.028045e-03 8.995141e-25 1.009883e+00
1.037567e-03 1.318058e-24 1.009883e+00
1.047177e-03 1.931333e-24 1.009883e+00
1.056876e-03 2.829973e-24 1.009883e+00
1.066665e-03 4.146824e-24 1.009883e+00
1.076545e-03 6.076434e-24 1.009883e+00
1.086516e-03 8.903761e-24 1.009883e+00
1.096579e-03 1.304653e-23 1.009883e+00
1.106736e-03 1.911704e-23 1.009883e+00
1.116987e-03 2.801248e-23 1.009883e+00
1.127333e-03 4.104743e-23 1.009883e+00
1.137774e-03 6.014750e-23 1.009883e+00
1.148312e-03 8.813351e-23 1.009883e+00
1.158948e-03 1.291406e-22 1.009883e+00
1.169683e-03 1.892300e-22 1.009883e+00
1.180517e-03 2.772822e-22 1.009883e+00
1.191451e-03 4.063082e-22 1.009883e+00
1.202486e-03 5.953675e-22 1.009883e+00
1.213624e-03 8.723828e-22 1.009883e+00
1.224865e-03 1.278291e-21 1.009883e+00
1.236210e-03 1.873100e-21 1.009883e+00
1.247660e-03 2.744698e-21 1.009883e+00
1.259216e-03 4.021819e-21 1.009883e+00
1.270879e-03 5.893149e-21 1.009883e+00
1.282650e-03 8.635226e-21 1.009883e+00
1.294530e-03 1.265323e-20 1.009883e+00
1.306520e-03 1.854082e-20 1.009883e+00
1.318621e-03 2.716798e-20 1.009883e+00
1.330835e-03 3.980957e-20 1.009883e+00
1.343161e-03 5.833353e-20 1.009883e+00
1.355602e-03 8.547683e-20 1.009883e+00
1.368158e-03 1.252494e-19 1.009883e+00
1.380830e-03 1.835268e-19 1.009883e+00
1.393619e-03 2.689204e-19 1.009883e+00
1.406527e-03 3.940513e-19 1.009883e+00
1.419555e-03 5.774094e-19 1.009883e+00
1.432703e-03 8.460840e-19 1.009883e+00
1.445973e-03 1.239771e-18 1.009883e+00
1.459366e-03 1.816641e-18 1.009883e+00
1.472883e-03 2.661932e-18 1.009883e+00
1.486525e-03 3.900546e-18 1.009883e+00
1.500293e-03 5.715475e-18 1.009883e+00
1.514189e-03 8.374829e-18 1.009883e+00
1.528214e-03 1.227157e-17 1.009883e+00
1.542369e-03 1.798159e-17 1.009883e+00
1.556654e-03 2.634860e-17 1.009883e+00
1.571072e-03 3.860866e-17 1.009883e+00
1.585624e-03 5.657320e-17 1.009883e+00
1.600310e-03 8.289693e-17 1.009883e+00
1.615133e-03 1.214699e-16 1.009883e+00
1.630092e-03 1.779924e-16 1.009883e+00
1.645191e-03 2.608151e-16 1.009883e+00
1.660429e-03 3.821726e-16 1.009883e+00
1.675808e-03 5.599945e-16 1.009883e+00
1.691330e-03 8.205568e-16 1.009883e+00
1.706995e-03 1.202366e-15 1.009883e+00
1.722805e-03 1.761847e-15 1.009883e+00
1.738762e-03 2.581660e-15 1.009883e+00
1.754867e-03 3.782897e-15 1.009883e+00
1.771121e-03 5.543044e-15 1.009883e+00
1.787526e-03 8.122230e-15 1.009883e+00
1.804082e-03 1.190158e-14 1.009883e+00
1.820792e-03 1.743950e-14 1.009883e+00
1.837656e-03 2.555417e-14 1.009883e+00
1.854677e-03 3.744440e-14 1.009883e+00
1.871855e-03 5.486723e-14 1.009883e+00
1.889193e-03 8.039773e-14 1.009883e+00
1.906691e-03 1.178081e-13 1.009883e+00
1.924351e-03 1.726247e-13 1.009883e+00
1.942175e-03 2.529464e-13 1.009883e+00
1.960163e-03 3.706421e-13 1.009883e+00
1.978319e-03 5.431032e-13 1.009883e+00
1.996642e-03 7.958134e-13 1.009883e+00
2.015136e-03 1.166113e-12 1.009883e+00
2.033800e-03 1.708717e-12 1.009883e+00
2.052638e-03 2.503797e-12 1.009883e+00
2.071650e-03 3.668830e-12 1.009883e+00
2.090838e-03 5.375959e-12 1.009883e+00
2.110203e-03 7.877434e-12 1.009883e+00
2.129749e-03 1.154282e-11 1.009883e+00
2.149475e-03 1.691357e-11 1.009883e+00
2.169384e-03 2.478335e-11 1.009883e+00
2.189477e-03 3.631540e-11 1.009883e+00
2.209756e-03 5.321355e-11 1.009883e+00
2.230223e-03 7.797362e-11 1.009883e+00
2.250880e-03 1.142542e-10 1.009883e+00
2.271728e-03 1.674179e-10 1.009883e+00
2.292769e-03 2.453202e-10 1.009883e+00
2.314005e-03 3.594682e-10 1.009883e+00
2.335438e-03 5.267268e-10 1.009883e+00
2.357069e-03 7.718126e-10 1.009883e+00
2.378901e-03 1.130940e-09 1.009883e+00
2.400935e-03 1.657172e-09 1.009883e+00
2.423173e-03 2.428263e-09 1.009883e+00
2.445617e-03 3.558155e-09 1.009883e+00
2.468268e-03 5.213793e-09 1.009883e+00
2.491130e-03 7.639791e-09 1.009883e+00
2.514203e-03 1.119462e-08 1.009883e+00
2.537490e-03 1.640358e-08 1.009883e+00
2.560993e-03 2.403631e-08 1.009883e+00
2.584714e-03 3.522043e-08 1.009883e+00
2.608654e-03 5.160850e-08 1.009883e+00
2.632815e-03 7.562233e-08 1.009883e+00
2.657201e-03 1.108100e-07 1.009883e+00
2.681813e-03 1.623698e-07 1.009883e+00
2.706652e-03 2.379201e-07 1.009883e+00
2.731722e-03 3.486263e-07 1.009883e+00
2.757023e-03 5.108462e-07 1.009883e+00
2.782559e-03 7.485455e-07 1.009883e+00
2.808332e-03 1.096843e-06 1.009883e+00
2.834343e-03 1.607203e-06 1.009883e+00
2.860596e-03 2.355036e-06 1.009883e+00
2.887091e-03 3.450846e-06 1.009883e+00
2.913832e-03 5.056548e-06 1.009883e+00
2.940820e-03 7.409382e-06 1.009883e+00
2.968059e-03 1.085699e-05 1.009883e+00
2.995549e-03 1.590881e-05 1.009883e+00
3.023295e-03 2.331130e-05 1.009883e+00
3.051297e-03 3.415826e-05 1.009883e+00
3.079559e-03 5.005237e-05 1.009883e+00
3.108082e-03 7.334196e-05 1.009883e+00
3.136870e-03 1.074681e-04 1.009883e+00
3.165924e-03 1.574729e-04 1.009883e+00
3.195248e-03 2.307454e-04 1.009883e+00
3.224842e-03 3.381132e-04 1.009883e+00
3.254712e-03 4.954408e-04 1.009883e+00
3.284857e-03 7.259723e-04 1.009883e+00
3.315282e-03 1.063767e-03 1.009883e+00
3.345989e-03 1.558733e-03 1.009883e+00
3.376980e-03 2.284016e-03 1.009883e+00
3.408259e-03 3.346817e-03 1.009883e+00
3.439826e-03 4.904099e-03 1.009883e+00
3.471687e-03 7.185757e-03 1.009883e+00
3.503842e-03 1.052949e-02 1.009883e+00
3.536296e-03 1.543085e-02 1.009883e+00
3.569049e-03 2.260945e-02 1.009883e+00
3.602107e-03 3.311419e-02 1.009882e+00
3.635470e-03 4.853379e-02 1.009883e+00
3.669142e-03 7.124086e-02 1.009885e+00
3.703127e-03 1.042979e-01 1.009884e+00
3.737426e-03 1.518364e-01 1.009876e+00
3.772042e-03 2.232072e-01 1.009880e+00
3.806980e-03 3.351076e-01 1.009917e+00
3.842241e-03 4.852202e-01 1.009965e+00
3.877828e-03 6.327095e-01 1.009989e+00
3.913746e-03 7.615624e-01 1.009995e+00
3.949995e-03 8.929016e-01 1.010001e+00
3.986581e-03 1.031168e+00 1.010008e+00
4.023506e-03 1.167988e+00 1.010013e+00
4.060772e-03 1.301637e+00 1.010016e+00
4.098384e-03 1.435045e+00 1.010018e+00
4.136344e-03 1.568437e+00 1.010021e+00
4.174655e-03 1.700734e+00 1.010022e+00
4.213322e-03 1.831620e+00 1.010024e+00
4.252346e-03 1.961317e+00 1.010025e+00
4.291732e-03 2.089696e+00 1.010027e+00
4.331483e-03 2.216551e+00 1.010028e+00
4.371602e-03 2.341722e+00 1.010029e+00
4.412093e-03 2.465130e+00 1.010029e+00
4.452959e-03 2.586642e+00 1.010030e+00
4.494203e-03 2.706142e+00 1.010030e+00
4.535829e-03 2.823502e+00 1.010031e+00
4.577841e-03 2.938625e+00 1.010031e+00
4.620241e-03 3.051396e+00 1.010032e+00
4.663035e-03 3.161720e+00 1.010033e+00
4.706225e-03 3.269497e+00 1.010033e+00
4.749815e-03 3.374642e+00 1.010033e+00
4.793808e-03 3.477067e+00 1.010033e+00
4.838210e-03 3.576699e+00 1.010033e+00
4.883022e-03 3.673462e+00 1.010034e+00
4.928250e-03 3.767297e+00 1.010034e+00
4.973896e-03 3.858146e+00 1.010034e+00
5.019965e-03 3.945964e+00 1.010034e+00
5.066461e-03 4.030709e+00 1.010034e+00
5.113388e-03 4.112351e+00 1.010034e+00
5.160749e-03 4.190869e+00 1.010034e+00
5.208549e-03 4.266252e+00 1.010034e+00
5.256791e-03 4.338497e+00 1.010034e+00
5.305481e-03 4.407615e+00 1.010034e+00
5.354621e-03 4.473624e+00 1.010034e+00
5.404216e-03 4.536557e+00 1.010034e+00
5.454271e-03 4.596456e+00 1.010034e+00
5.504790e-03 4.653377e+00 1.010034e+00
5.555776e-03 4.707389e+00 1.010034e+00
5.607235e-03 4.758574e+00 1.010034e+00
5.659170e-03 4.807029e+00 1.010034e+00
5.711586e-03 4.852864e+00 1.010034e+00
5.764488e-03 4.896205e+00 1.010034e+00
5.817880e-03 4.937193e+00 1.010034e+00
5.871766e-03 4.975986e+00 1.010034e+00
5.926152e-03 5.012757e+00 1.010034e+00
5.981041e-03 5.047701e+00 1.010034e+00
6.036439e-03 5.081025e+00 1.010034e+00
6.092349e-03 5.112960e+00 1.010033e+00
6.148778e-03 5.143752e+00 1.010033e+00
6.205729e-03 5.173671e+00 1.010033e+00
6.263207e-03 5.203005e+00 1.010033e+00
6.321218e-03 5.232066e+00 1.010033e+00
6.379767e-03 5.261186e+00 1.010033e+00
6.438857e-03 5.290723e+00 1.010032e+00
6.498495e-03 5.321056e+00 1.010032e+00
6.558686e-03 5.352590e+00 1.010032e+00
6.619433e-03 5.385757e+00 1.010032e+00
6.680744e-03 5.421014e+00 1.010032e+00
6.742622e-03 5.458846e+00 1.010032e+00
6.805074e-03 5.499768e+00 1.010032e+00
6.868104e-03 5.544321e+00 1.010032e+00
6.931717e-03 5.593081e+00 1.010031e+00
6.995920e-03 5.646653e+00 1.010031e+00
7.060718e-03 5.705677e+00 1.010031e+00
7.126115e-03 5.770825e+00 1.010031e+00
7.192119e-03 5.842805e+00 1.010031e+00
7.258734e-03 5.922364e+00 1.010031e+00
7.325965e-03 6.010281e+00 1.010031e+00
7.393820e-03 6.107384e+00 1.010031e+00
