# d + p > He3 + g   [d_p__He3_g]   ref=Parthenope3.0 (Pisanti et al 2020 (PIS2020, default))
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 47 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 2.947492e-21 1.031496e+00
1.009262e-03 4.210664e-21 1.031496e+00
1.018610e-03 6.015223e-21 1.031496e+00
1.028045e-03 8.593163e-21 1.031496e+00
1.037567e-03 1.227585e-20 1.031496e+00
1.047177e-03 1.753662e-20 1.031496e+00
1.056876e-03 2.505203e-20 1.031496e+00
1.066665e-03 3.578883e-20 1.031496e+00
1.076545e-03 5.112721e-20 1.031496e+00
1.086516e-03 7.303798e-20 1.031496e+00
1.096579e-03 1.043380e-19 1.031496e+00
1.106736e-03 1.490527e-19 1.031496e+00
1.116987e-03 2.129326e-19 1.031496e+00
1.127333e-03 3.041921e-19 1.031496e+00
1.137774e-03 4.345612e-19 1.031496e+00
1.148312e-03 6.207926e-19 1.031496e+00
1.158948e-03 8.868300e-19 1.031496e+00
1.169683e-03 1.266891e-18 1.031496e+00
1.180517e-03 1.809850e-18 1.031496e+00
1.191451e-03 2.585518e-18 1.031496e+00
1.202486e-03 3.693591e-18 1.031496e+00
1.213624e-03 5.276463e-18 1.031496e+00
1.224865e-03 7.537678e-18 1.031496e+00
1.236210e-03 1.076813e-17 1.031496e+00
1.247660e-03 1.538314e-17 1.031496e+00
1.259216e-03 2.197580e-17 1.031496e+00
1.270879e-03 3.139363e-17 1.031496e+00
1.282650e-03 4.484766e-17 1.031496e+00
1.294530e-03 6.406768e-17 1.031496e+00
1.306520e-03 9.152470e-17 1.031496e+00
1.318621e-03 1.307490e-16 1.031496e+00
1.330835e-03 1.867842e-16 1.031496e+00
1.343161e-03 2.668349e-16 1.031496e+00
1.355602e-03 3.811924e-16 1.031496e+00
1.368158e-03 5.445570e-16 1.031496e+00
1.380830e-03 7.779275e-16 1.031496e+00
1.393619e-03 1.111310e-15 1.031496e+00
1.406527e-03 1.587581e-15 1.031496e+00
1.419555e-03 2.267976e-15 1.031496e+00
1.432703e-03 3.239961e-15 1.031496e+00
1.445973e-03 4.628492e-15 1.031496e+00
1.459366e-03 6.612090e-15 1.031496e+00
1.472883e-03 9.445789e-15 1.031496e+00
1.486525e-03 1.349393e-14 1.031496e+00
1.500293e-03 1.927689e-14 1.031496e+00
1.514189e-03 2.753801e-14 1.031496e+00
1.528214e-03 3.933948e-14 1.031496e+00
1.542369e-03 5.619899e-14 1.031496e+00
1.556654e-03 8.028411e-14 1.031496e+00
1.571072e-03 1.146907e-13 1.031496e+00
1.585624e-03 1.638424e-13 1.031496e+00
1.600310e-03 2.340592e-13 1.031496e+00
1.615133e-03 3.343702e-13 1.031496e+00
1.630092e-03 4.776741e-13 1.031496e+00
1.645191e-03 6.823931e-13 1.031496e+00
1.660429e-03 9.748395e-13 1.031496e+00
1.675808e-03 1.392609e-12 1.031496e+00
1.691330e-03 1.989418e-12 1.031496e+00
1.706995e-03 2.842011e-12 1.031496e+00
1.722805e-03 4.060026e-12 1.031496e+00
1.738762e-03 5.800042e-12 1.031496e+00
1.754867e-03 8.285687e-12 1.031496e+00
1.771121e-03 1.183653e-11 1.031496e+00
1.787526e-03 1.690920e-11 1.031496e+00
1.804082e-03 2.415594e-11 1.031496e+00
1.820792e-03 3.450842e-11 1.031496e+00
1.837656e-03 4.929744e-11 1.031496e+00
1.854677e-03 7.042411e-11 1.031496e+00
1.871855e-03 1.006049e-10 1.031496e+00
1.889193e-03 1.437214e-10 1.031496e+00
1.906691e-03 2.053168e-10 1.031496e+00
1.924351e-03 2.933081e-10 1.031496e+00
1.942175e-03 4.190072e-10 1.031496e+00
1.960163e-03 5.985763e-10 1.031496e+00
1.978319e-03 8.551039e-10 1.031496e+00
1.996642e-03 1.221573e-09 1.031496e+00
2.015136e-03 1.745100e-09 1.031496e+00
2.033800e-03 2.492995e-09 1.031496e+00
2.052638e-03 3.561411e-09 1.031496e+00
2.071650e-03 5.087710e-09 1.031496e+00
2.090838e-03 7.268123e-09 1.031496e+00
2.110203e-03 1.038298e-08 1.031496e+00
2.129749e-03 1.483274e-08 1.031496e+00
2.149475e-03 2.118948e-08 1.031496e+00
2.169384e-03 3.027014e-08 1.031496e+00
2.189477e-03 4.324180e-08 1.031496e+00
2.209756e-03 6.177540e-08 1.031496e+00
2.230223e-03 8.825952e-08 1.031496e+00
2.250880e-03 1.260738e-07 1.031496e+00
2.271728e-03 1.800300e-07 1.031496e+00
2.292769e-03 2.572584e-07 1.031496e+00
2.314005e-03 3.680827e-07 1.031496e+00
2.335438e-03 5.252814e-07 1.031496e+00
2.357069e-03 7.460440e-07 1.031496e+00
2.378901e-03 1.069860e-06 1.031496e+00
2.400935e-03 1.561898e-06 1.031496e+00
2.423173e-03 2.199933e-06 1.031496e+00
2.445617e-03 2.819412e-06 1.031496e+00
2.468268e-03 3.371280e-06 1.031496e+00
2.491130e-03 3.937915e-06 1.031496e+00
2.514203e-03 4.530757e-06 1.031496e+00
2.537490e-03 5.118517e-06 1.031496e+00
2.560993e-03 5.696433e-06 1.031496e+00
2.584714e-03 6.275641e-06 1.031496e+00
2.608654e-03 6.856401e-06 1.031496e+00
2.632815e-03 7.434848e-06 1.031496e+00
2.657201e-03 8.010005e-06 1.031496e+00
2.681813e-03 8.582777e-06 1.031496e+00
