# n + p > d + g   [n_p__d_g]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# T9                 rate                error
1.000000e-03 4.409364e+04 1.001478e+00
1.009262e-03 4.409329e+04 1.001478e+00
1.018610e-03 4.409293e+04 1.001478e+00
1.028045e-03 4.409257e+04 1.001478e+00
1.037567e-03 4.409220e+04 1.001478e+00
1.047177e-03 4.409183e+04 1.001478e+00
1.056876e-03 4.409145e+04 1.001478e+00
1.066665e-03 4.409107e+04 1.001478e+00
1.076545e-03 4.409067e+04 1.001479e+00
1.086516e-03 4.409027e+04 1.001479e+00
1.096579e-03 4.408986e+04 1.001479e+00
1.106736e-03 4.408945e+04 1.001479e+00
1.116987e-03 4.408904e+04 1.001479e+00
1.127333e-03 4.408861e+04 1.001480e+00
1.137774e-03 4.408818e+04 1.001480e+00
1.148312e-03 4.408773e+04 1.001480e+00
1.158948e-03 4.408729e+04 1.001480e+00
1.169683e-03 4.408684e+04 1.001480e+00
1.180517e-03 4.408638e+04 1.001481e+00
1.191451e-03 4.408591e+04 1.001481e+00
1.202486e-03 4.408543e+04 1.001481e+00
1.213624e-03 4.408495e+04 1.001481e+00
1.224865e-03 4.408446e+04 1.001482e+00
1.236210e-03 4.408396e+04 1.001483e+00
1.247660e-03 4.408345e+04 1.001483e+00
1.259216e-03 4.408294e+04 1.001483e+00
1.270879e-03 4.408242e+04 1.001483e+00
1.282650e-03 4.408189e+04 1.001483e+00
1.294530e-03 4.408136e+04 1.001484e+00
1.306520e-03 4.408081e+04 1.001485e+00
1.318621e-03 4.408026e+04 1.001485e+00
1.330835e-03 4.407970e+04 1.001485e+00
1.343161e-03 4.407913e+04 1.001486e+00
1.355602e-03 4.407855e+04 1.001486e+00
1.368158e-03 4.407796e+04 1.001487e+00
1.380830e-03 4.407736e+04 1.001487e+00
1.393619e-03 4.407676e+04 1.001488e+00
1.406527e-03 4.407615e+04 1.001488e+00
1.419555e-03 4.407553e+04 1.001489e+00
1.432703e-03 4.407491e+04 1.001489e+00
1.445973e-03 4.407427e+04 1.001490e+00
1.459366e-03 4.407362e+04 1.001490e+00
1.472883e-03 4.407296e+04 1.001491e+00
1.486525e-03 4.407229e+04 1.001491e+00
1.500293e-03 4.407162e+04 1.001492e+00
1.514189e-03 4.407094e+04 1.001493e+00
1.528214e-03 4.407024e+04 1.001493e+00
1.542369e-03 4.406954e+04 1.001493e+00
1.556654e-03 4.406882e+04 1.001494e+00
1.571072e-03 4.406810e+04 1.001495e+00
1.585624e-03 4.406737e+04 1.001496e+00
1.600310e-03 4.406662e+04 1.001497e+00
1.615133e-03 4.406587e+04 1.001497e+00
1.630092e-03 4.406511e+04 1.001497e+00
1.645191e-03 4.406433e+04 1.001498e+00
1.660429e-03 4.406355e+04 1.001499e+00
1.675808e-03 4.406275e+04 1.001500e+00
1.691330e-03 4.406195e+04 1.001500e+00
1.706995e-03 4.406113e+04 1.001501e+00
1.722805e-03 4.406030e+04 1.001502e+00
1.738762e-03 4.405946e+04 1.001503e+00
1.754867e-03 4.405861e+04 1.001504e+00
1.771121e-03 4.405775e+04 1.001504e+00
1.787526e-03 4.405688e+04 1.001505e+00
1.804082e-03 4.405600e+04 1.001506e+00
1.820792e-03 4.405510e+04 1.001507e+00
1.837656e-03 4.405420e+04 1.001508e+00
1.854677e-03 4.405328e+04 1.001509e+00
1.871855e-03 4.405235e+04 1.001510e+00
1.889193e-03 4.405141e+04 1.001510e+00
1.906691e-03 4.405046e+04 1.001511e+00
1.924351e-03 4.404949e+04 1.001512e+00
1.942175e-03 4.404851e+04 1.001513e+00
1.960163e-03 4.404752e+04 1.001514e+00
1.978319e-03 4.404651e+04 1.001515e+00
1.996642e-03 4.404550e+04 1.001516e+00
2.015136e-03 4.404447e+04 1.001517e+00
2.033800e-03 4.404343e+04 1.001518e+00
2.052638e-03 4.404237e+04 1.001519e+00
2.071650e-03 4.404130e+04 1.001520e+00
2.090838e-03 4.404022e+04 1.001522e+00
2.110203e-03 4.403913e+04 1.001523e+00
2.129749e-03 4.403802e+04 1.001524e+00
2.149475e-03 4.403690e+04 1.001525e+00
2.169384e-03 4.403576e+04 1.001526e+00
2.189477e-03 4.403460e+04 1.001527e+00
2.209756e-03 4.403344e+04 1.001528e+00
2.230223e-03 4.403227e+04 1.001529e+00
2.250880e-03 4.403108e+04 1.001531e+00
2.271728e-03 4.402987e+04 1.001532e+00
2.292769e-03 4.402864e+04 1.001533e+00
2.314005e-03 4.402741e+04 1.001534e+00
2.335438e-03 4.402616e+04 1.001536e+00
2.357069e-03 4.402489e+04 1.001537e+00
2.378901e-03 4.402360e+04 1.001538e+00
2.400935e-03 4.402230e+04 1.001539e+00
2.423173e-03 4.402099e+04 1.001541e+00
2.445617e-03 4.401966e+04 1.001542e+00
2.468268e-03 4.401831e+04 1.001544e+00
2.491130e-03 4.401695e+04 1.001545e+00
2.514203e-03 4.401558e+04 1.001546e+00
2.537490e-03 4.401419e+04 1.001547e+00
2.560993e-03 4.401278e+04 1.001549e+00
2.584714e-03 4.401135e+04 1.001550e+00
2.608654e-03 4.400990e+04 1.001552e+00
2.632815e-03 4.400844e+04 1.001553e+00
2.657201e-03 4.400697e+04 1.001555e+00
2.681813e-03 4.400547e+04 1.001556e+00
2.706652e-03 4.400395e+04 1.001558e+00
2.731722e-03 4.400243e+04 1.001559e+00
2.757023e-03 4.400088e+04 1.001561e+00
2.782559e-03 4.399931e+04 1.001562e+00
2.808332e-03 4.399773e+04 1.001564e+00
2.834343e-03 4.399613e+04 1.001566e+00
2.860596e-03 4.399452e+04 1.001568e+00
2.887091e-03 4.399288e+04 1.001569e+00
2.913832e-03 4.399121e+04 1.001571e+00
2.940820e-03 4.398954e+04 1.001572e+00
2.968059e-03 4.398784e+04 1.001574e+00
2.995549e-03 4.398613e+04 1.001576e+00
3.023295e-03 4.398440e+04 1.001578e+00
3.051297e-03 4.398265e+04 1.001579e+00
3.079559e-03 4.398087e+04 1.001581e+00
3.108082e-03 4.397907e+04 1.001583e+00
3.136870e-03 4.397726e+04 1.001585e+00
3.165924e-03 4.397543e+04 1.001586e+00
3.195248e-03 4.397358e+04 1.001588e+00
3.224842e-03 4.397170e+04 1.001590e+00
3.254712e-03 4.396980e+04 1.001592e+00
3.284857e-03 4.396789e+04 1.001594e+00
3.315282e-03 4.396594e+04 1.001596e+00
3.345989e-03 4.396398e+04 1.001597e+00
3.376980e-03 4.396200e+04 1.001599e+00
3.408259e-03 4.396000e+04 1.001601e+00
3.439826e-03 4.395797e+04 1.001603e+00
3.471687e-03 4.395593e+04 1.001605e+00
3.503842e-03 4.395385e+04 1.001607e+00
3.536296e-03 4.395176e+04 1.001609e+00
3.569049e-03 4.394964e+04 1.001611e+00
3.602107e-03 4.394751e+04 1.001613e+00
3.635470e-03 4.394535e+04 1.001615e+00
3.669142e-03 4.394316e+04 1.001617e+00
3.703127e-03 4.394095e+04 1.001620e+00
3.737426e-03 4.393871e+04 1.001622e+00
3.772042e-03 4.393645e+04 1.001624e+00
3.806980e-03 4.393417e+04 1.001626e+00
3.842241e-03 4.393186e+04 1.001628e+00
3.877828e-03 4.392953e+04 1.001630e+00
3.913746e-03 4.392717e+04 1.001632e+00
3.949995e-03 4.392479e+04 1.001634e+00
3.986581e-03 4.392238e+04 1.001637e+00
4.023506e-03 4.391995e+04 1.001639e+00
4.060772e-03 4.391749e+04 1.001641e+00
4.098384e-03 4.391500e+04 1.001643e+00
4.136344e-03 4.391249e+04 1.001646e+00
4.174655e-03 4.390995e+04 1.001648e+00
4.213322e-03 4.390738e+04 1.001650e+00
4.252346e-03 4.390479e+04 1.001652e+00
4.291732e-03 4.390217e+04 1.001655e+00
4.331483e-03 4.389952e+04 1.001657e+00
4.371602e-03 4.389684e+04 1.001660e+00
4.412093e-03 4.389414e+04 1.001662e+00
4.452959e-03 4.389141e+04 1.001664e+00
4.494203e-03 4.388864e+04 1.001666e+00
4.535829e-03 4.388585e+04 1.001669e+00
4.577841e-03 4.388303e+04 1.001671e+00
4.620241e-03 4.388019e+04 1.001674e+00
4.663035e-03 4.387731e+04 1.001676e+00
4.706225e-03 4.387440e+04 1.001679e+00
4.749815e-03 4.387146e+04 1.001681e+00
4.793808e-03 4.386849e+04 1.001684e+00
4.838210e-03 4.386549e+04 1.001686e+00
4.883022e-03 4.386246e+04 1.001689e+00
4.928250e-03 4.385941e+04 1.001691e+00
4.973896e-03 4.385631e+04 1.001694e+00
5.019965e-03 4.385319e+04 1.001696e+00
5.066461e-03 4.385003e+04 1.001699e+00
