# t + a > Li7 + g   [t_a__Li7_g]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 8 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 1.037006e-46 5.650992e+00
1.009262e-03 1.294889e-46 5.650992e+00
1.018610e-03 1.616909e-46 5.650992e+00
1.028045e-03 2.019011e-46 5.650992e+00
1.037567e-03 2.521099e-46 5.650992e+00
1.047177e-03 3.148030e-46 5.650992e+00
1.056876e-03 3.930876e-46 5.650992e+00
1.066665e-03 4.908452e-46 5.650992e+00
1.076545e-03 6.129142e-46 5.650992e+00
1.086516e-03 7.653321e-46 5.650992e+00
1.096579e-03 9.556488e-46 5.650992e+00
1.106736e-03 1.193299e-45 5.650992e+00
1.116987e-03 1.490057e-45 5.650992e+00
1.127333e-03 1.860625e-45 5.650992e+00
1.137774e-03 2.323342e-45 5.650992e+00
1.148312e-03 2.901100e-45 5.650992e+00
1.158948e-03 3.622523e-45 5.650992e+00
1.169683e-03 4.523378e-45 5.650992e+00
1.180517e-03 5.648294e-45 5.650992e+00
1.191451e-03 7.052980e-45 5.650992e+00
1.202486e-03 8.806954e-45 5.650992e+00
1.213624e-03 1.099700e-44 5.650992e+00
1.224865e-03 1.373167e-44 5.650992e+00
1.236210e-03 1.714658e-44 5.650992e+00
1.247660e-03 2.141080e-44 5.650992e+00
1.259216e-03 2.673529e-44 5.650992e+00
1.270879e-03 3.338377e-44 5.650992e+00
1.282650e-03 4.168564e-44 5.650992e+00
1.294530e-03 5.205211e-44 5.650992e+00
1.306520e-03 6.499655e-44 5.650992e+00
1.318621e-03 8.116013e-44 5.650992e+00
1.330835e-03 1.013435e-43 5.650992e+00
1.343161e-03 1.265464e-43 5.650992e+00
1.355602e-03 1.580168e-43 5.650992e+00
1.368158e-03 1.973127e-43 5.650992e+00
1.380830e-03 2.463796e-43 5.650992e+00
1.393619e-03 3.076484e-43 5.650992e+00
1.406527e-03 3.841558e-43 5.650992e+00
1.419555e-03 4.796908e-43 5.650992e+00
1.432703e-03 5.989831e-43 5.650992e+00
1.445973e-03 7.479400e-43 5.650992e+00
1.459366e-03 9.339390e-43 5.650992e+00
1.472883e-03 1.166193e-42 5.650992e+00
1.486525e-03 1.456206e-42 5.650992e+00
1.500293e-03 1.818338e-42 5.650992e+00
1.514189e-03 2.270514e-42 5.650992e+00
1.528214e-03 2.835137e-42 5.650992e+00
1.542369e-03 3.540187e-42 5.650992e+00
1.556654e-03 4.420580e-42 5.650992e+00
1.571072e-03 5.519895e-42 5.650992e+00
1.585624e-03 6.892581e-42 5.650992e+00
1.600310e-03 8.606645e-42 5.650992e+00
1.615133e-03 1.074700e-41 5.650992e+00
1.630092e-03 1.341968e-41 5.650992e+00
1.645191e-03 1.675700e-41 5.650992e+00
1.660429e-03 2.092415e-41 5.650992e+00
1.675808e-03 2.612749e-41 5.650992e+00
1.691330e-03 3.262482e-41 5.650992e+00
1.706995e-03 4.073805e-41 5.650992e+00
1.722805e-03 5.086915e-41 5.650992e+00
1.738762e-03 6.351968e-41 5.650992e+00
1.754867e-03 7.931568e-41 5.650992e+00
1.771121e-03 9.903959e-41 5.650992e+00
1.787526e-03 1.236689e-40 5.650992e+00
1.804082e-03 1.544235e-40 5.650992e+00
1.820792e-03 1.928263e-40 5.650992e+00
1.837656e-03 2.407787e-40 5.650992e+00
1.854677e-03 3.006551e-40 5.650992e+00
1.871855e-03 3.754220e-40 5.650992e+00
1.889193e-03 4.687847e-40 5.650992e+00
1.906691e-03 5.853661e-40 5.650992e+00
1.924351e-03 7.309363e-40 5.650992e+00
1.942175e-03 9.127047e-40 5.650992e+00
1.960163e-03 1.139676e-39 5.650992e+00
1.978319e-03 1.423094e-39 5.650992e+00
1.996642e-03 1.776994e-39 5.650992e+00
2.015136e-03 2.218906e-39 5.650992e+00
2.033800e-03 2.770716e-39 5.650992e+00
2.052638e-03 3.459751e-39 5.650992e+00
2.071650e-03 4.320133e-39 5.650992e+00
2.090838e-03 5.394478e-39 5.650992e+00
2.110203e-03 6.736000e-39 5.650992e+00
2.129749e-03 8.411118e-39 5.650992e+00
2.149475e-03 1.050276e-38 5.650992e+00
2.169384e-03 1.311456e-38 5.650992e+00
2.189477e-03 1.637598e-38 5.650992e+00
2.209756e-03 2.044850e-38 5.650992e+00
2.230223e-03 2.553360e-38 5.650992e+00
2.250880e-03 3.188322e-38 5.650992e+00
2.271728e-03 3.981212e-38 5.650992e+00
2.292769e-03 4.971294e-38 5.650992e+00
2.314005e-03 6.207563e-38 5.650992e+00
2.335438e-03 7.751247e-38 5.650992e+00
2.357069e-03 9.678831e-38 5.650992e+00
2.378901e-03 1.208579e-37 5.650992e+00
2.400935e-03 1.509131e-37 5.650992e+00
2.423173e-03 1.884426e-37 5.650992e+00
2.445617e-03 2.353054e-37 5.650992e+00
2.468268e-03 2.938223e-37 5.650992e+00
2.491130e-03 3.668907e-37 5.650992e+00
2.514203e-03 4.581300e-37 5.650992e+00
2.537490e-03 5.720601e-37 5.650992e+00
2.560993e-03 7.143226e-37 5.650992e+00
2.584714e-03 8.919612e-37 5.650992e+00
2.608654e-03 1.113775e-36 5.650992e+00
2.632815e-03 1.390753e-36 5.650992e+00
2.657201e-03 1.736611e-36 5.650992e+00
2.681813e-03 2.168471e-36 5.650992e+00
2.706652e-03 2.707726e-36 5.650992e+00
2.731722e-03 3.381095e-36 5.650992e+00
2.757023e-03 4.221927e-36 5.650992e+00
2.782559e-03 5.271849e-36 5.650992e+00
2.808332e-03 6.582853e-36 5.650992e+00
2.834343e-03 8.219874e-36 5.650992e+00
2.860596e-03 1.026400e-35 5.650992e+00
2.887091e-03 1.281648e-35 5.650992e+00
2.913832e-03 1.600373e-35 5.650992e+00
2.940820e-03 1.998358e-35 5.650992e+00
2.968059e-03 2.495314e-35 5.650992e+00
2.995549e-03 3.115856e-35 5.650992e+00
3.023295e-03 3.890721e-35 5.650992e+00
3.051297e-03 4.858285e-35 5.650992e+00
3.079559e-03 6.066465e-35 5.650992e+00
3.108082e-03 7.575089e-35 5.650992e+00
3.136870e-03 9.458868e-35 5.650992e+00
3.165924e-03 1.181110e-34 5.650992e+00
3.195248e-03 1.474830e-34 5.650992e+00
3.224842e-03 1.841598e-34 5.650992e+00
3.254712e-03 2.299577e-34 5.650992e+00
3.284857e-03 2.871443e-34 5.650992e+00
3.315282e-03 3.585515e-34 5.650992e+00
3.345989e-03 4.477160e-34 5.650992e+00
3.376980e-03 5.590546e-34 5.650992e+00
3.408259e-03 6.980827e-34 5.650992e+00
3.439826e-03 8.716855e-34 5.650992e+00
3.471687e-03 1.088458e-33 5.650992e+00
3.503842e-03 1.359138e-33 5.650992e+00
3.536296e-03 1.697132e-33 5.650992e+00
3.569049e-03 2.119181e-33 5.650992e+00
3.602107e-03 2.646182e-33 5.650992e+00
3.635470e-03 3.304236e-33 5.650992e+00
3.669142e-03 4.125938e-33 5.650992e+00
3.703127e-03 5.151985e-33 5.650992e+00
3.737426e-03 6.433196e-33 5.650992e+00
3.772042e-03 8.033021e-33 5.650992e+00
3.806980e-03 1.003069e-32 5.650992e+00
3.842241e-03 1.252514e-32 5.650992e+00
3.877828e-03 1.563995e-32 5.650992e+00
3.913746e-03 1.952939e-32 5.650992e+00
3.949995e-03 2.438602e-32 5.650992e+00
3.986581e-03 3.045037e-32 5.650992e+00
4.023506e-03 3.802282e-32 5.650992e+00
4.060772e-03 4.747844e-32 5.650992e+00
4.098384e-03 5.928558e-32 5.650992e+00
4.136344e-03 7.402896e-32 5.650992e+00
4.174655e-03 9.243860e-32 5.650992e+00
4.213322e-03 1.154263e-31 5.650992e+00
4.252346e-03 1.441309e-31 5.650992e+00
4.291732e-03 1.799738e-31 5.650992e+00
4.331483e-03 2.247299e-31 5.650992e+00
4.371602e-03 2.806158e-31 5.650992e+00
4.412093e-03 3.503998e-31 5.650992e+00
4.452959e-03 4.375384e-31 5.650992e+00
4.494203e-03 5.463471e-31 5.650992e+00
4.535829e-03 6.822147e-31 5.650992e+00
4.577841e-03 8.518701e-31 5.650992e+00
4.620241e-03 1.063715e-30 5.650992e+00
4.663035e-03 1.328241e-30 5.650992e+00
4.706225e-03 1.658549e-30 5.650992e+00
4.749815e-03 2.071003e-30 5.650992e+00
4.793808e-03 2.586029e-30 5.650992e+00
4.838210e-03 3.229133e-30 5.650992e+00
4.883022e-03 4.032162e-30 5.650992e+00
4.928250e-03 5.034883e-30 5.650992e+00
4.973896e-03 6.286963e-30 5.650992e+00
5.019965e-03 7.850431e-30 5.650992e+00
5.066461e-03 9.802718e-30 5.650992e+00
5.113388e-03 1.224049e-29 5.650992e+00
5.160749e-03 1.528446e-29 5.650992e+00
5.208549e-03 1.908541e-29 5.650992e+00
5.256791e-03 2.383162e-29 5.650992e+00
5.305481e-03 2.975816e-29 5.650992e+00
5.354621e-03 3.715857e-29 5.650992e+00
5.404216e-03 4.639930e-29 5.650992e+00
5.454271e-03 5.793798e-29 5.650992e+00
5.504790e-03 7.234605e-29 5.650992e+00
5.555776e-03 9.033714e-29 5.650992e+00
5.607235e-03 1.128025e-28 5.650992e+00
5.659170e-03 1.408547e-28 5.650992e+00
5.711586e-03 1.758828e-28 5.650992e+00
5.764488e-03 2.196217e-28 5.650992e+00
5.817880e-03 2.742380e-28 5.650992e+00
5.871766e-03 3.424364e-28 5.650992e+00
5.926152e-03 4.275939e-28 5.650992e+00
5.981041e-03 5.339282e-28 5.650992e+00
6.036439e-03 6.667071e-28 5.650992e+00
6.092349e-03 8.325070e-28 5.650992e+00
6.148778e-03 1.039538e-27 5.650992e+00
6.205729e-03 1.298052e-27 5.650992e+00
6.263207e-03 1.620856e-27 5.650992e+00
6.321218e-03 2.023935e-27 5.650992e+00
6.379767e-03 2.527251e-27 5.650992e+00
6.438857e-03 3.155732e-27 5.650992e+00
6.498495e-03 3.940503e-27 5.650992e+00
6.558686e-03 4.920433e-27 5.650992e+00
6.619433e-03 6.144058e-27 5.650992e+00
6.680744e-03 7.671983e-27 5.650992e+00
6.742622e-03 9.579887e-27 5.650992e+00
6.805074e-03 1.196225e-26 5.650992e+00
6.868104e-03 1.493704e-26 5.650992e+00
6.931717e-03 1.865160e-26 5.650992e+00
6.995920e-03 2.328994e-26 5.650992e+00
7.060718e-03 2.908179e-26 5.650992e+00
7.126115e-03 3.631394e-26 5.650992e+00
7.192119e-03 4.534457e-26 5.650992e+00
7.258734e-03 5.662097e-26 5.650992e+00
7.325965e-03 7.070163e-26 5.650992e+00
7.393820e-03 8.828391e-26 5.650992e+00
7.462303e-03 1.102385e-25 5.650992e+00
7.531420e-03 1.376528e-25 5.650992e+00
7.601178e-03 1.718845e-25 5.650992e+00
7.671581e-03 2.146293e-25 5.650992e+00
7.742637e-03 2.680040e-25 5.650992e+00
7.814351e-03 3.346519e-25 5.650992e+00
7.886729e-03 4.178738e-25 5.650992e+00
7.959777e-03 5.217918e-25 5.650992e+00
8.033502e-03 6.515525e-25 5.650992e+00
8.107910e-03 8.135818e-25 5.650992e+00
8.183007e-03 1.015905e-24 5.650992e+00
8.258799e-03 1.268544e-24 5.650992e+00
8.335294e-03 1.584011e-24 5.650992e+00
8.412497e-03 1.977926e-24 5.650992e+00
8.490415e-03 2.469799e-24 5.650992e+00
8.569055e-03 3.083994e-24 5.650992e+00
8.648423e-03 3.850933e-24 5.650992e+00
8.728527e-03 4.808595e-24 5.650992e+00
8.809372e-03 6.004408e-24 5.650992e+00
8.890966e-03 7.497597e-24 5.650992e+00
8.973316e-03 9.362119e-24 5.650992e+00
9.056428e-03 1.169033e-23 5.650992e+00
9.140311e-03 1.459752e-23 5.650992e+00
9.224970e-03 1.822768e-23 5.650992e+00
9.310413e-03 2.276057e-23 5.650992e+00
9.396648e-03 2.842071e-23 5.650992e+00
9.483682e-03 3.548844e-23 5.650992e+00
9.571522e-03 4.431380e-23 5.650992e+00
9.660175e-03 5.533389e-23 5.650992e+00
9.749649e-03 6.909444e-23 5.650992e+00
9.839952e-03 8.627699e-23 5.650992e+00
9.931092e-03 1.077326e-22 5.650992e+00
1.002308e-02 1.345240e-22 5.650992e+00
1.011591e-02 1.679782e-22 5.650992e+00
1.020961e-02 2.097518e-22 5.650992e+00
1.030417e-02 2.619130e-22 5.650992e+00
1.039961e-02 3.270453e-22 5.650992e+00
1.049593e-02 4.083754e-22 5.650992e+00
1.059315e-02 5.099310e-22 5.650992e+00
1.069126e-02 6.367401e-22 5.650992e+00
1.079029e-02 7.950832e-22 5.650992e+00
1.089023e-02 9.928059e-22 5.650992e+00
1.099110e-02 1.239703e-21 5.650992e+00
1.109290e-02 1.548005e-21 5.650992e+00
1.119564e-02 1.932979e-21 5.650992e+00
1.129934e-02 2.413683e-21 5.650992e+00
1.140400e-02 3.013917e-21 5.650992e+00
1.150962e-02 3.763401e-21 5.650992e+00
1.161623e-02 4.699261e-21 5.650992e+00
1.172382e-02 5.867873e-21 5.650992e+00
1.183241e-02 7.327128e-21 5.650992e+00
1.194200e-02 9.149289e-21 5.650992e+00
1.205261e-02 1.142458e-20 5.650992e+00
1.216424e-02 1.426567e-20 5.650992e+00
1.227691e-02 1.781326e-20 5.650992e+00
1.239062e-02 2.224310e-20 5.650992e+00
1.250539e-02 2.777464e-20 5.650992e+00
1.262121e-02 3.468188e-20 5.650992e+00
1.273811e-02 4.330678e-20 5.650992e+00
1.285610e-02 5.407618e-20 5.650992e+00
1.297517e-02 6.752354e-20 5.650992e+00
1.309535e-02 8.431563e-20 5.650992e+00
1.321664e-02 1.052842e-19 5.650992e+00
1.333906e-02 1.314670e-19 5.650992e+00
1.346261e-02 1.641603e-19 5.650992e+00
1.358730e-02 2.049842e-19 5.650992e+00
1.371315e-02 2.559600e-19 5.650992e+00
1.384016e-02 3.196109e-19 5.650992e+00
1.396835e-02 3.990900e-19 5.650992e+00
1.409773e-02 4.983376e-19 5.650992e+00
