# t + d > a + n   [t_d__a_n]   ref=Parthenope3.0 (Serpico et al 2004)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# NOTE: lowest 200 T9 points (below the fit validity floor, where
#   the published polynomial extrapolates non-physically) are filled by
#   log-log extrapolation; this region is dynamically frozen for BBN.
# T9                 rate                error
1.000000e-03 6.453241e-25 2.040402e+00
1.009262e-03 7.668394e-25 2.040402e+00
1.018610e-03 9.112394e-25 2.040402e+00
1.028045e-03 1.082831e-24 2.040402e+00
1.037567e-03 1.286730e-24 2.040402e+00
1.047177e-03 1.529018e-24 2.040402e+00
1.056876e-03 1.816932e-24 2.040402e+00
1.066665e-03 2.159078e-24 2.040402e+00
1.076545e-03 2.565654e-24 2.040402e+00
1.086516e-03 3.048766e-24 2.040402e+00
1.096579e-03 3.622835e-24 2.040402e+00
1.106736e-03 4.305018e-24 2.040402e+00
1.116987e-03 5.115683e-24 2.040402e+00
1.127333e-03 6.079026e-24 2.040402e+00
1.137774e-03 7.223756e-24 2.040402e+00
1.148312e-03 8.583977e-24 2.040402e+00
1.158948e-03 1.020031e-23 2.040402e+00
1.169683e-03 1.212105e-23 2.040402e+00
1.180517e-03 1.440354e-23 2.040402e+00
1.191451e-03 1.711588e-23 2.040402e+00
1.202486e-03 2.033890e-23 2.040402e+00
1.213624e-03 2.416863e-23 2.040402e+00
1.224865e-03 2.871952e-23 2.040402e+00
1.236210e-03 3.412763e-23 2.040402e+00
1.247660e-03 4.055422e-23 2.040402e+00
1.259216e-03 4.819071e-23 2.040402e+00
1.270879e-03 5.726501e-23 2.040402e+00
1.282650e-03 6.804811e-23 2.040402e+00
1.294530e-03 8.086178e-23 2.040402e+00
1.306520e-03 9.608829e-23 2.040402e+00
1.318621e-03 1.141821e-22 2.040402e+00
1.330835e-03 1.356834e-22 2.040402e+00
1.343161e-03 1.612335e-22 2.040402e+00
1.355602e-03 1.915948e-22 2.040402e+00
1.368158e-03 2.276726e-22 2.040402e+00
1.380830e-03 2.705430e-22 2.040402e+00
1.393619e-03 3.214860e-22 2.040402e+00
1.406527e-03 3.820233e-22 2.040402e+00
