# t + p > a + g   [t_p__a_g]   ref=Parthenope3.0 (Caughlan-Fowler 1988)
# Forward rate N_A<sigma v> [cm^3 mol^-1 s^-1] extracted from
# parthenope3.0.f (default PIS2020 nuclear-rate selection).
# error column = sqrt((1+drate_up)/(1+drate_lo)), the full Parthenope
# 1-sigma multiplicative envelope (statistical fp/fm + systematic floor).
# T9                 rate                error
1.000000e-03 3.564130e-11 1.224745e+00
1.009262e-03 3.989384e-11 1.224745e+00
1.018610e-03 4.463763e-11 1.224745e+00
1.028045e-03 4.992742e-11 1.224745e+00
1.037567e-03 5.582380e-11 1.224745e+00
1.047177e-03 6.239390e-11 1.224745e+00
1.056876e-03 6.971234e-11 1.224745e+00
1.066665e-03 7.786173e-11 1.224745e+00
1.076545e-03 8.693277e-11 1.224745e+00
1.086516e-03 9.702557e-11 1.224745e+00
1.096579e-03 1.082515e-10 1.224745e+00
1.106736e-03 1.207339e-10 1.224745e+00
1.116987e-03 1.346086e-10 1.224745e+00
1.127333e-03 1.500255e-10 1.224745e+00
1.137774e-03 1.671492e-10 1.224745e+00
1.148312e-03 1.861615e-10 1.224745e+00
1.158948e-03 2.072639e-10 1.224745e+00
1.169683e-03 2.306790e-10 1.224745e+00
1.180517e-03 2.566515e-10 1.224745e+00
1.191451e-03 2.854500e-10 1.224745e+00
1.202486e-03 3.173701e-10 1.224745e+00
1.213624e-03 3.527371e-10 1.224745e+00
1.224865e-03 3.919114e-10 1.224745e+00
1.236210e-03 4.352905e-10 1.224745e+00
1.247660e-03 4.833076e-10 1.224745e+00
1.259216e-03 5.364380e-10 1.224745e+00
1.270879e-03 5.952070e-10 1.224745e+00
1.282650e-03 6.601929e-10 1.224745e+00
1.294530e-03 7.320291e-10 1.224745e+00
1.306520e-03 8.114107e-10 1.224745e+00
1.318621e-03 8.991010e-10 1.224745e+00
1.330835e-03 9.959381e-10 1.224745e+00
1.343161e-03 1.102840e-09 1.224745e+00
1.355602e-03 1.220814e-09 1.224745e+00
1.368158e-03 1.350960e-09 1.224745e+00
1.380830e-03 1.494487e-09 1.224745e+00
1.393619e-03 1.652721e-09 1.224745e+00
1.406527e-03 1.827119e-09 1.224745e+00
1.419555e-03 2.019265e-09 1.224745e+00
1.432703e-03 2.230893e-09 1.224745e+00
1.445973e-03 2.463902e-09 1.224745e+00
1.459366e-03 2.720370e-09 1.224745e+00
1.472883e-03 3.002570e-09 1.224745e+00
1.486525e-03 3.312985e-09 1.224745e+00
1.500293e-03 3.654323e-09 1.224745e+00
1.514189e-03 4.029539e-09 1.224745e+00
1.528214e-03 4.441873e-09 1.224745e+00
1.542369e-03 4.894865e-09 1.224745e+00
1.556654e-03 5.392357e-09 1.224745e+00
1.571072e-03 5.938538e-09 1.224745e+00
1.585624e-03 6.537988e-09 1.224745e+00
1.600310e-03 7.195708e-09 1.224745e+00
1.615133e-03 7.917142e-09 1.224745e+00
1.630092e-03 8.708213e-09 1.224745e+00
1.645191e-03 9.575358e-09 1.224745e+00
1.660429e-03 1.052558e-08 1.224745e+00
1.675808e-03 1.156652e-08 1.224745e+00
1.691330e-03 1.270652e-08 1.224745e+00
1.706995e-03 1.395463e-08 1.224745e+00
1.722805e-03 1.532070e-08 1.224745e+00
1.738762e-03 1.681539e-08 1.224745e+00
1.754867e-03 1.845027e-08 1.224745e+00
1.771121e-03 2.023797e-08 1.224745e+00
1.787526e-03 2.219224e-08 1.224745e+00
1.804082e-03 2.432796e-08 1.224745e+00
1.820792e-03 2.666125e-08 1.224745e+00
1.837656e-03 2.920959e-08 1.224745e+00
1.854677e-03 3.199195e-08 1.224745e+00
1.871855e-03 3.502899e-08 1.224745e+00
1.889193e-03 3.834311e-08 1.224745e+00
1.906691e-03 4.195844e-08 1.224745e+00
1.924351e-03 4.590110e-08 1.224745e+00
1.942175e-03 5.019948e-08 1.224745e+00
1.960163e-03 5.488440e-08 1.224745e+00
1.978319e-03 5.998915e-08 1.224745e+00
1.996642e-03 6.554972e-08 1.224745e+00
2.015136e-03 7.160506e-08 1.224745e+00
2.033800e-03 7.819725e-08 1.224745e+00
2.052638e-03 8.537180e-08 1.224745e+00
2.071650e-03 9.317790e-08 1.224745e+00
2.090838e-03 1.016688e-07 1.224745e+00
2.110203e-03 1.109018e-07 1.224745e+00
2.129749e-03 1.209390e-07 1.224745e+00
2.149475e-03 1.318470e-07 1.224745e+00
2.169384e-03 1.436984e-07 1.224745e+00
2.189477e-03 1.565717e-07 1.224745e+00
2.209756e-03 1.705506e-07 1.224745e+00
2.230223e-03 1.857250e-07 1.224745e+00
2.250880e-03 2.021931e-07 1.224745e+00
2.271728e-03 2.200611e-07 1.224745e+00
2.292769e-03 2.394420e-07 1.224745e+00
2.314005e-03 2.604574e-07 1.224745e+00
2.335438e-03 2.832391e-07 1.224745e+00
2.357069e-03 3.079294e-07 1.224745e+00
2.378901e-03 3.346807e-07 1.224745e+00
2.400935e-03 3.636570e-07 1.224745e+00
2.423173e-03 3.950348e-07 1.224745e+00
2.445617e-03 4.290041e-07 1.224745e+00
2.468268e-03 4.657688e-07 1.224745e+00
2.491130e-03 5.055478e-07 1.224745e+00
2.514203e-03 5.485772e-07 1.224745e+00
2.537490e-03 5.951103e-07 1.224745e+00
2.560993e-03 6.454186e-07 1.224745e+00
2.584714e-03 6.997931e-07 1.224745e+00
2.608654e-03 7.585475e-07 1.224745e+00
2.632815e-03 8.220188e-07 1.224745e+00
2.657201e-03 8.905667e-07 1.224745e+00
2.681813e-03 9.645765e-07 1.224745e+00
2.706652e-03 1.044464e-06 1.224745e+00
2.731722e-03 1.130674e-06 1.224745e+00
2.757023e-03 1.223683e-06 1.224745e+00
2.782559e-03 1.323998e-06 1.224745e+00
2.808332e-03 1.432166e-06 1.224745e+00
2.834343e-03 1.548773e-06 1.224745e+00
2.860596e-03 1.674444e-06 1.224745e+00
2.887091e-03 1.809850e-06 1.224745e+00
2.913832e-03 1.955708e-06 1.224745e+00
2.940820e-03 2.112784e-06 1.224745e+00
2.968059e-03 2.281896e-06 1.224745e+00
2.995549e-03 2.463923e-06 1.224745e+00
3.023295e-03 2.659801e-06 1.224745e+00
3.051297e-03 2.870530e-06 1.224745e+00
3.079559e-03 3.097180e-06 1.224745e+00
3.108082e-03 3.340890e-06 1.224745e+00
3.136870e-03 3.602879e-06 1.224745e+00
3.165924e-03 3.884450e-06 1.224745e+00
3.195248e-03 4.186992e-06 1.224745e+00
3.224842e-03 4.511990e-06 1.224745e+00
3.254712e-03 4.861021e-06 1.224745e+00
3.284857e-03 5.235767e-06 1.224745e+00
3.315282e-03 5.638024e-06 1.224745e+00
3.345989e-03 6.069707e-06 1.224745e+00
3.376980e-03 6.532860e-06 1.224745e+00
3.408259e-03 7.029661e-06 1.224745e+00
3.439826e-03 7.562420e-06 1.224745e+00
3.471687e-03 8.133596e-06 1.224745e+00
3.503842e-03 8.745815e-06 1.224745e+00
3.536296e-03 9.401877e-06 1.224745e+00
3.569049e-03 1.010475e-05 1.224745e+00
3.602107e-03 1.085758e-05 1.224745e+00
3.635470e-03 1.166373e-05 1.224745e+00
3.669142e-03 1.252680e-05 1.224745e+00
3.703127e-03 1.345057e-05 1.224745e+00
3.737426e-03 1.443908e-05 1.224745e+00
3.772042e-03 1.549662e-05 1.224745e+00
3.806980e-03 1.662773e-05 1.224745e+00
3.842241e-03 1.783728e-05 1.224745e+00
3.877828e-03 1.913039e-05 1.224745e+00
3.913746e-03 2.051253e-05 1.224745e+00
3.949995e-03 2.198945e-05 1.224745e+00
3.986581e-03 2.356729e-05 1.224745e+00
