# Finite-temperature QED corrections to the n<->p weak rates.
# Brown & Sawyer / Pitrou et al. Phys. Rep. 754 eq. 107, computed by
# Cosmic.generate_thermal_cache() -- delete this file to recompute.
# T_gamma [MeV]        Lambda_th(n->p)        Lambda_th(p->n)
0.0004000000000000001  -8.684086623964648e-10  0.0
0.00043514395396191313  -9.43911615309214e-10  0.0
0.0004733756516740192  -1.0249543748430152e-9  0.0
0.000514966381946825  -1.111807051503787e-9  0.0
0.0005602112689945054  -1.2048303279617822e-9  0.0
0.0006094313666107254  -1.3045334315504794e-9  0.0
0.000662975936338508  -1.4116302830028803e-9  0.0
0.0007212249257998499  -1.527078048585184e-9  0.0
0.000784591664771085  -1.652079600895922e-9  0.0
0.0008535257981351251  -1.7880352712226732e-9  0.0
0.0009285164765225399  -1.936445087404441e-9  0.0
0.0010100958272820045  -2.098794745475462e-9  0.0
0.0010988427304098037  -2.2765087780879492e-9  0.0
0.001195386926232066  -2.4711160543763455e-9  0.0
0.001300413483987497  -2.684831281478521e-9  0.0
0.0014146676630192672  -2.9217816591922517e-9  0.0
0.0015389602010706578  -3.1900556405098026e-9  0.0
0.0016741730672097668  -3.5045664986602252e-9  0.0
0.0018212657202055053  -3.890361126351855e-9  0.0
0.001981281916763787  -4.3854637801065e-9  0.0
0.0021553571179345806  -5.041708681459128e-9  0.0
0.0023447265462450168  -5.921471998321163e-9  0.0
0.0025507339507312944  -7.088030949801754e-9  0.0
0.002774841142065267  -8.587732926581072e-9  0.0
0.003018638365436177  -1.0423434032389401e-8  0.0
0.003283855584792564  -1.2520747532916144e-8  0.0
0.003572374758516366  -1.469122948467161e-8  0.0
0.0038862431936363645  -1.6599112008363323e-8  0.0
0.0042276880733412535  -1.773972216144061e-8  0.0
0.004599132260878339  -1.743740584873261e-8  0.0
0.005003211491980982  -1.4868014593239929e-8  0.0
0.005442793077820722  -9.10585487056723e-9  0.0
0.005920996251198597  8.116984028250839e-10  0.0
0.006441214300350555  1.5815451227257412e-8  0.0
0.007007138647426395  3.675009516736496e-8  0.0
0.007622785042501139  6.435501129288804e-8  0.0
0.008292522058989187  9.929921285819361e-8  0.0
0.009021102092662348  1.422842736897037e-7  0.0
0.009813695084237965  1.9422113287298496e-7  0.0
0.010675925204829743  2.5647752976526644e-7  0.0
0.01161391076457815  3.311851508160257e-7  0.0
0.012634307627648413  4.2159294554230474e-7  0.0
0.013744356441665221  5.32459207090723e-7  3.4720372966605557e-46
0.014951934016720233  6.704920160626363e-7  8.43881904415622e-43
0.016265609218533178  8.448743748626534e-7  1.106671790343687e-39
